編號		地址
49871 >>> 台南市東區莊敬路116巷22號
49864 >>> 嘉義縣溪口鄉忠孝街104號
49844 >>> 屏東縣林邊鄉中山路3-1號
49834 >>> 高雄市大樹區中興南路新立巷10-7號
49826 >>> 高雄市大寮區六和路2之39號
49798 >>> 高雄市岡山區民族路71號
49740 >>> 高雄市楠梓區德民路999之3號
49726 >>> 高雄市楠梓區
49684 >>> 高雄市鳳山區新強路59號
49559 >>> 嘉義縣布袋鎮過溝中厝109之25號
49522 >>> 高雄市前鎮區林森三路110號
49501 >>> 高雄市三民區建國二路157號
49455 >>> 高雄市湖內區湖中路432號
49436 >>> 屏東縣麟洛鄉
49351 >>> 高雄市茄萣區光復街71巷11號
49308 >>> 台東縣台東市中華路一段174號
49302 >>> 嘉義縣竹崎鄉14-31號
49274 >>> 屏東縣屏東市古松巷43號
49250 >>> 高雄市三民區三民第一市場
49216 >>> 高雄市大寮區鳳林三路410號
49195 >>> 高雄市鳳山區瑞興路243號
49183 >>> 高雄市林園區
49165 >>> 高雄市燕巢區中民路637號
49161 >>> 高雄市永安區維新路103號
49157 >>> 高雄市路竹區中山路981號
49152 >>> 高雄市燕巢區中民路396號
49151 >>> 高雄市路竹區
49145 >>> 高雄市鳳山區五甲一路632號
49140 >>> 高雄市三民區義華路131號
49080 >>> 高雄市鳳山區五甲三路96號
49077 >>> 高雄市左營區重立路598巷8號
49051 >>> 高雄市湖內區
49047 >>> 高雄市林園區
49045 >>> 高雄市旗山區復新東街50號
49034 >>> 高雄市鳳山區中山東路318號
49033 >>> 高雄市鳳山區鳳頂路
48985 >>> 高雄市大社區三民路217之1號
48973 >>> 高雄市大社區大社路103號
48962 >>> 高雄市楠梓區土庫一路60號
48959 >>> 高雄市旗山區旗甲路一段74號
48917 >>> 高雄市鳳山區光遠路286號
48902 >>> 高雄市前鎮區崗山南街295號
48865 >>> 高雄市大寮區八德路5號
48859 >>> 高雄市前鎮區崗山西街66號
48852 >>> 高雄市前鎮區瑞隆路212號
48844 >>> 高雄市苓雅區永樂街45號
48841 >>> 高雄市苓雅區興中一路437號
48833 >>> 高雄市三民區鼎強街101-8號
48826 >>> 高雄市新興區
48820 >>> 高雄市鳥松區學堂路87號
48819 >>> 高雄市苓雅區英明路148號
48818 >>> 高雄市苓雅區光華一路183號
48816 >>> 高雄市苓雅區復興二路230號
48787 >>> 高雄市三民區大享路118號
48784 >>> 高雄市三民區建工路274號
48756 >>> 高雄市新興區明星街14號
48751 >>> 高雄市三民區九如一路1020號
48731 >>> 高雄市前鎮區三多四路806號10樓
48730 >>> 高雄市新興區中山橫路4號
48714 >>> 高雄市前金區六合二路181號
48711 >>> 高雄市鹽埕區大公路68號
48710 >>> 高雄市鹽埕區大公路9號
48709 >>> 高雄市鹽埕區北端80號
48691 >>> 嘉義市西區國華街245號
48667 >>> 嘉義縣布袋鎮永安里285之8號
48664 >>> 台南市新營區
48663 >>> 台南市學甲區
48623 >>> 嘉義縣民雄鄉文隆村山腳1之85號
48616 >>> 嘉義縣中埔鄉
48597 >>> 嘉義縣水上鄉義興村81-2 號
48595 >>> 嘉義縣水上鄉184號
48578 >>> 台南市西港區慶安路95之11號 
48540 >>> 台南市新營區三民路45號
48532 >>> 高雄市三民區建元路10號
48523 >>> 台南市新化區
48520 >>> 台南市新營區博愛街3號
48513 >>> 台南市安定區港口198號
48494 >>> 台南市永康區新民街52號
48485 >>> 台南市永康區大灣二街38巷6號
48453 >>> 台南市永康區大仁街217巷15號
48437 >>> 台南市東區崇德路937號
48393 >>> 台南市新化區102號2樓
48368 >>> 台南市安南區府安路五段267巷15號
48361 >>> 台南市永康區大橋一街253巷14號
48344 >>> 台南市東區勝利路118號
48312 >>> 台南市東區北門路一段226號
48297 >>> 台南市中西區民族路二段12號
48224 >>> 台南市東區中華東路一段80巷43號
48219 >>> 台南市學甲區濟生路227號
48217 >>> 嘉義縣民雄鄉
48193 >>> 高雄市阿蓮區忠孝路125號
48190 >>> 台南市佳里區
48188 >>> 台南市新營區太子路139巷10號
48187 >>> 台南市新營區
48180 >>> 台南市永康區
48175 >>> 台南市永康區華興街174號
48164 >>> 台南市安定區港南里港口1號
48163 >>> 台南市安定區南133鄉道
48154 >>> 台南市東區北門路一段254號
48151 >>> 台南市新化區中正路551號
48149 >>> 台南市新化區中正路336號
48130 >>> 台南市北區臨安路二段133號
48112 >>> 新營區新進路二段
48077 >>> 嘉義縣中埔鄉台18線
48065 >>> 嘉義縣中埔鄉中埔村中埔68號
48062 >>> 嘉義縣水上鄉柳子林179號之17號
48061 >>> 嘉義縣中埔鄉135號
48059 >>> 嘉義縣水上鄉中庄62之4號
48054 >>> 台南市新營區三民路85之2號  
48052 >>> 嘉義縣水上鄉柳鄉村柳子林260號
48036 >>> 台南市新營區太北里太子宮142之1號
48026 >>> 台南市歸仁區大順街
48024 >>> 台南市將軍區西和171號
48010 >>> 台南市北門區
47991 >>> 高雄市左營區左營大路226號
47988 >>> 台南市善化區中山路326號
47986 >>> 台南市善化區光復路2號
47981 >>> 台南市新化區
47980 >>> 台南市新化區
47979 >>> 高雄市旗山區旗文路8號
47978 >>> 台南市新化區忠孝路162號
47969 >>> 台南市六甲區中正路395號
47965 >>> 台南市白河區中正路48號
47964 >>> 台南市東山區中興路55號
47963 >>> 台南市白河區中正路187號
47951 >>> 台南市安定區453號
47949 >>> 台南市安定區227之8號
47946 >>> 台南市麻豆區5之17號
47942 >>> 台南市仁德區保生東路
47940 >>> 台南市仁德區正義路98之9號
47937 >>> 台南市仁德區中正路二段1197號
47922 >>> 台南市佳里區235之1號
47919 >>> 台南市佳里區營頂里29號
47912 >>> 台南市官田區
47911 >>> 台南市麻豆區興中路55巷6號
47876 >>> 台南市永康區鹽洲二街181號
47867 >>> 台南市永康區大灣路690號
47859 >>> 台南市安南區
47853 >>> 台南市七股區大埕里大埕74號
47850 >>> 台南市安定區7之49號
47840 >>> 台南市安南區
47837 >>> 台南市佳里區中山路111號
47836 >>> 台南市安定區25之13號
47828 >>> 台南市北區
47814 >>> 台南市永康區永大路二段71號
47813 >>> 台南市安南區安和路五段107號
47800 >>> 台南市安南區海佃路一段326號
47787 >>> 台南市新化區南169鄉道230號
47778 >>> 台南市永康區忠孝路239巷17號
47767 >>> 台南市歸仁區中山路二段130號
47760 >>> 台南市六甲區民生街76號
47754 >>> 台南市大內區
47752 >>> 台南市玉井區沙田26號
47747 >>> 台南市玉井區中華路146號
47746 >>> 台南市玉井區中華路64號
47737 >>> 台南市安定區中榮里85號
47736 >>> 台南市善化區中正路551號
47716 >>> 台南市永康區中正路567號
47699 >>> 台南市東區莊敬路152號
47696 >>> 台南市東區崇善路705號
47689 >>> 台南市歸仁區大智街45號
47676 >>> 台南市仁德區中正路二段141號
47668 >>> 台南市安南區安和路五段337號
47650 >>> 台南市北區北安路一段255號
47649 >>> 台南市永康區大安街400號
47646 >>> 台南市安南區安和路五段45號
47643 >>> 台南市北區公園路1058號
47635 >>> 台南市中西區武聖路151巷35號
47625 >>> 台南市新化區忠孝路168號
47623 >>> 台南市新化區中山路361號
47621 >>> 台南市南區
47613 >>> 台南市仁德區文華路三段
47608 >>> 台南市東區崇德四街7巷18號
47605 >>> 台南市東區裕農路621巷66號
47604 >>> 台南市北區開元路206號
47587 >>> 台南市南區
47580 >>> 台南市中西區新美街60號
47576 >>> 台南市東區東寧路325號
47561 >>> 台南市中西區金華路三段11號
47558 >>> 台南市東區大同路二段275號
47552 >>> 台南市南區灣裡路467號
47549 >>> 台南市南區新興路163號
47543 >>> 台南市南區健康路二段134號
47542 >>> 台南市南區灣裡路257號
47518 >>> 台中市清水區五權路241號
47513 >>> 台中市北區三民路三段106巷15號
47511 >>> 彰化縣彰化市金馬路三段123號
47507 >>> 台中市清水區高美路231巷6號
47506 >>> 台中市清水區
47496 >>> 台中市沙鹿區北中一街107號
47482 >>> 台中市石岡區
47448 >>> 台中市大甲區鎮瀾街57號
47429 >>> 台中市烏日區中山路二段187號
47424 >>> 台中市大安區
47412 >>> 台中市大肚區遊園路二段75號
47400 >>> 台中市西區英才路508號
47393 >>> 台中市南屯區黎明路二段14號
47385 >>> 台中市南屯區文心南路258號
47337 >>> 台中市后里區民生路168號
47332 >>> 台中市后里區月湖路76號
47322 >>> 台中市南屯區大正街26號
47320 >>> 台中市西屯區台灣大道三段251號2樓
47318 >>> 台中市大甲區經國路2108號
47313 >>> 台中市南屯區大墩路267號
47262 >>> 台中市南區福田路130號
47250 >>> 台中市霧峰區中正路682號
47237 >>> 台中市西區英才路506號
47236 >>> 台中市西區英才路506號
47233 >>> 台中市西區五權路41巷11號
47191 >>> 台中市西區英才路510號
47171 >>> 台中市西屯區大墩十九街186號
47164 >>> 台中市西區英才路510號1樓
47134 >>> 台中市中區中山路49巷22號
47122 >>> 台中市北區崇德路一段631號
47120 >>> 台中市西屯區甘肅路一段202號
47109 >>> 台中市北區健行路174號
47089 >>> 台中市北區永興街8號
47065 >>> 台中市西屯區四川西二街11-4-2號
47061 >>> 台中市西屯區福上巷216弄48-1號
47060 >>> 台中市西屯區福科路400號
47039 >>> 台中市北屯區松竹路二段56號1樓
47028 >>> 台中市烏日區信義街173號
47005 >>> 台中市東區大勇街163號
46998 >>> 台中市東區建德街87號
46983 >>> 台中市梧棲區港埠路一段844號
46971 >>> 台中市沙鹿區七賢路85號
46970 >>> 台中市梧棲區
46934 >>> 苗栗縣銅鑼鄉
46916 >>> 台中市太平區新福路356號
46911 >>> 台中市大雅區雅環路二段288號
46879 >>> 台中市西屯區青海路二段246號
46814 >>> 台中市龍井區沙田路五段98巷50號
46810 >>> 台中市梧棲區
46803 >>> 台中市大甲區
46777 >>> 台中市大雅區民生路一段230號
46757 >>> 台中市沙鹿區
46752 >>> 台中市大雅區月祥路
46745 >>> 台中市沙鹿區中山路363號
46732 >>> 台中市北屯區
46728 >>> 台中市豐原區三豐路608號
46711 >>> 台中市東勢區豐勢路311號
46710 >>> 台中市豐原區
46702 >>> 台中市大甲區水源路2之27號
46700 >>> 台中市大甲區中華街76號
46654 >>> 台中市潭子區頭張路一段65號
46644 >>> 台中市潭子區中山路一段248號
46643 >>> 台中市豐原區中正路836號
46639 >>> 台中市大甲區信義路62號
46609 >>> 台中市大里區東明路489號
46608 >>> 台中市南區興大路301巷2號
46606 >>> 台中市霧峰區林森路766號
46604 >>> 台中市大里區
46597 >>> 台中市霧峰區中正路1214號
46547 >>> 台中市新社區中和街四段192號
46543 >>> 台中市豐原區豐勢路二段245巷11號
46538 >>> 台中市豐原區大湳街13號
46510 >>> 台中市西屯區西屯路二段273號
46505 >>> 台中市霧峰區中正路984號
46488 >>> 台中市台中市北屯區
46482 >>> 台中市北屯區東山路一段250-1號
46481 >>> 台中市北屯區松竹路二段126號
46458 >>> 台中市南屯區河南路四段218號
46457 >>> 台中市南屯區黎明路二段163號
46454 >>> 台中市后里區
46450 >>> 台中市北屯區
46440 >>> 台中市神岡區文昌街
46429 >>> 台中市北區天祥街80號
46410 >>> 台中市神岡區豐洲路191號
46399 >>> 台中市南屯區忠勇路79號
46387 >>> 台中市西區三民市場三巷
46385 >>> 台中市西區美村路一段707號
46381 >>> 台中市東區大同路二段373號
46375 >>> 台中市大甲區文武路174號
46373 >>> 台中市北屯區
46364 >>> 台中市東勢區中山段706地號
46362 >>> 台中市西屯區光明路147號
46358 >>> 台中市西屯區文心路三段305號
46355 >>> 台中市大里區仁化路562號
46344 >>> 台中市大里區內新街163號
46333 >>> 台中市南屯區黎明路一段965巷36弄13號
46280 >>> 台中市南屯區文心南七路12號
46266 >>> 台中市豐原區豐東路27號
46259 >>> 台中市豐原區三豐路661號
46252 >>> 台中市中區
46250 >>> 太平區中興東路358號
46225 >>> 台中市西區三民西路7號
46220 >>> 台中市大里區中興路一段17號
46215 >>> 台中市北屯區東山路一段291號
46212 >>> 台中市南區五權南路277號
46206 >>> 台中市西屯區青海路二段206號
46205 >>> 台中市北屯區大連路一段272號
46204 >>> 台中市北屯區北屯路317號
46197 >>> 台中市北屯區熱河路一段73號
46189 >>> 台中市東區大智路90號
46186 >>> 台中市西區精誠十一街19號
46181 >>> 台中市西區精誠路29號
46169 >>> 台中市北區永興街91號
46168 >>> 台中市中區中山路49巷18號
46157 >>> 台中市南區台中路188號
46146 >>> 台中市北區三民路三段161號10樓
46141 >>> 台中市東區台中路93號
46136 >>> 台中市中區中山路35號
46124 >>> 台中市中區中山路42號
46122 >>> 台中市中區成功路134號
46117 >>> 台中市中區民族路18號
46112 >>> 台中市中區三民路二段38號
46095 >>> 台北市中山區林森北路259巷17號
46093 >>> 台北市中正區八德路一段82巷10號
46067 >>> 桃園市蘆竹區南崁路二段499號
46061 >>> 桃園市龜山區文三二街52巷10號
46006 >>> 桃園市中壢區復興路117號
45973 >>> 桃園市中壢區中正路389號
45946 >>> 桃園市八德區茄苳路89號
45909 >>> 桃園市中壢區星七街5號
45872 >>> 桃園市平鎮區育達路219巷5號
45807 >>> 桃園市中壢區中正路389號3樓
45797 >>> 桃園市桃園區福元街139號2樓
45779 >>> 桃園市八德區建國路56號
45745 >>> 桃園市桃園區大同路287號
45743 >>> 桃園市蘆竹區
45719 >>> 桃園市大溪區康莊路2號
45711 >>> 桃園市大溪區
45691 >>> 桃園市桃園區永光街330號
45643 >>> 桃園市蘆竹區大竹路417號
45638 >>> 桃園市桃園區經國路106號
45634 >>> 桃園市大業路一段375巷1弄16號1樓
45616 >>> 桃園市新屋區中華路255號
45548 >>> 新北市淡水區
45542 >>> 桃園市桃園區北埔路71號
45517 >>> 桃園市中壢區自強一路16號
