編號 >>> 店家名稱
25644 >>> 全家便利商店 寧夏店
25645 >>> 全家便利商店 新橋店
25663 >>> 全家便利商店 長慶店
25666 >>> 全家便利商店 甘洲店
25669 >>> 全家便利商店 太陽店
25671 >>> 全家便利商店 玉泉店
25672 >>> 萊爾富便利商店 北市京承店
25673 >>> 萊爾富便利商店 北市延年店
25679 >>> 全家便利商店 權澤店
25680 >>> 全家便利商店 福安店
25684 >>> 7-ELEVEN 景星門市
25686 >>> 7-ELEVEN 詠樂門市
25687 >>> 美廉社 大同哈密店
25691 >>> 美廉社 北市昌吉店
25696 >>> 7-ELEVEN 長峰門市 
25697 >>> 全家便利商店 京鋒店
25699 >>> 全家便利商店 福澤店
25701 >>> 全家便利商店 民權西路店
25704 >>> 全家便利商店 龍昌店
25710 >>> 全家便利商店 地下街店
25712 >>> 全家便利商店 金漾店
25715 >>> 全家便利商店 台鐵北店
25717 >>> 全家便利商店 圓山飯店
25719 >>> 全家便利商店 鑫通店
25720 >>> 全家便利商店 三重大同店
25721 >>> 全家便利商店 高鐵一店
25724 >>> 美廉社 北市德惠店
25728 >>> 全家便利商店 台鐵一店
25731 >>> 全家便利商店 台鐵東店
25735 >>> 全家便利商店 長通店
25736 >>> 全家便利商店 衡慶店
25737 >>> 全家便利商店 台鐵南店
25738 >>> 全家便利商店 凱撒店
25744 >>> 蜜鄰便利超市 台北新生二店
25759 >>> 全家便利商店 新德店
25772 >>> 全家便利商店 亞慶店
25775 >>> 全家便利商店 教育大學店
25777 >>> 全家便利商店 新廈門店
25782 >>> 全家便利商店 水源門市
25786 >>> 全家便利商店 博愛店
25795 >>> 全家便利商店 高鐵二店
25796 >>> 7-ELEVEN 中航門市 
25797 >>> 全家便利商店 兆豐店
25800 >>> 全家便利商店 金安店
25801 >>> 全家便利商店 館中門市
25808 >>> 全家便利商店 羅斯店
25810 >>> 全家便利商店 羅安店
25812 >>> 7-ELEVEN 萬翔門市
25814 >>> 7-ELEVEN 青島門市 
25825 >>> 7-ELEVEN 華慶門市 
25828 >>> 美廉社 中正金門店
25848 >>> 7-ELEVEN 萬光門市
25849 >>> 7-ELEVEN 新廈門門市 
25856 >>> 全家便利商店 台鐵西店
25863 >>> 全家便利商店 台六宿舍店
25867 >>> 全家便利商店 建南店
25869 >>> 全家便利商店 福昌店
25871 >>> 萊爾富便利商店 正台店
25881 >>> 全家便利商店 萬大店
25893 >>> 萊爾富便利商店 士林月圓店
25900 >>> 全家便利商店 大盛店
25901 >>> 全家便利商店 寶清店
25904 >>> 全家便利商店 松旺店
25905 >>> 全家便利商店 松興店
25907 >>> 全家便利商店 京吉店
25911 >>> 全家便利商店 慶城店
25912 >>> 全家便利商店 新德光店
25914 >>> OK便利商店 松山富盛店
25916 >>> 全家便利商店 新東光
25921 >>> 全家便利商店 長復店
25924 >>> 全家便利商店 豐禾店
25929 >>> 全家便利商店 三富店
25935 >>> 全家便利商店 敦城店
25938 >>> 全家便利商店 興北店
25947 >>> 全家便利商店 富錦店
25951 >>> 全家便利商店 崧捷店 
25956 >>> 全家便利商店 長城店
25960 >>> 美廉社 松山復興店
25962 >>> 全家便利商店 京鑽店
25963 >>> 7-ELEVEN 京佳門市
25969 >>> 全家便利商店 松站店
25971 >>> 全家便利商店 力晶店
25985 >>> 全家便利商店 台發店
25986 >>> 全家便利商店 中發店
25988 >>> 全家便利商店 復北店
26011 >>> 全家便利商店 欣松春店
26014 >>> 全家便利商店 新松林店 
26015 >>> 全家便利商店 永吉二店
26017 >>> 全家便利商店 永隆店
26019 >>> 全家便利商店 松創店
26020 >>> 全家便利商店 堤頂店
26032 >>> 全家便利商店 台北１０１店
26033 >>> 全家便利商店 行善店
26039 >>> 全家便利商店 南山廣場店
26041 >>> 全家便利商店 信安店
26042 >>> 全家便利商店 松友店
26044 >>> 全家便利商店 松永店
26047 >>> 全家便利商店 萬華車站店
26050 >>> 全家便利商店 萬園店
26052 >>> 7-ELEVEN 凱富門市
26055 >>> 全家便利商店 民和店
26058 >>> 全家便利商店 東園店
26060 >>> 全家便利商店 康華店
26084 >>> 美廉社 萬華大理店
26093 >>> 全家便利商店 萬中店
26094 >>> 7-ELEVEN 昆明門市
26106 >>> 全家便利商店 廣明店
26125 >>> 7-ELEVEN 萬東門市
26127 >>> 萊爾富便利商店 北市鑫梧店
26129 >>> 全家便利商店 日祥店
26133 >>> 7-ELEVEN 六福門市 Hello Kitty聯名店
26138 >>> 全家便利商店 鑫都店
26141 >>> 7-ELEVEN 鑫日新門市
26147 >>> 7-ELEVEN 鑫越門市 
26154 >>> 全家便利商店 建錦店
26156 >>> 全家便利商店 林慶店
26163 >>> 全家便利商店 濱江店 
26164 >>> 全家便利商店 遼寧店
26166 >>> 全家便利商店 撫順店
26176 >>> 全家便利商店 農安店
26178 >>> 7-ELEVEN 森鑽門市
26181 >>> 全家便利商店 福泰店
26188 >>> 全家便利商店 鑫泰店
26189 >>> 全家便利商店 金磚店
26191 >>> 全家便利商店 民佳店
26192 >>> 全家便利商店 雙林店
26193 >>> 全家便利商店 春北店 
26196 >>> 全家便利商店 鑫豐店 
26201 >>> 7-ELEVEN 中錦門市
26206 >>> 全家便利商店 林慶店
26207 >>> 全家便利商店 民族店
26210 >>> 全家便利商店 錦民店
26214 >>> 全家便利商店 龍京店
26222 >>> 全家便利商店 新晴店
26223 >>> 全家便利商店 松茂店
26226 >>> 全家便利商店 長林店
26227 >>> 全家便利商店 京林店
26233 >>> 7-ELEVEN 行天門市
26235 >>> 全家便利商店 松農店
26238 >>> 全家便利商店 新農店
26242 >>> 美廉社 中山龍江店
26245 >>> 7-ELEVEN 吉鑫門市 
26254 >>> 全家便利商店 新松店
26265 >>> 7-ELEVEN 榮鑽門市
26272 >>> 全家便利商店 松好店
26280 >>> 7-ELEVEN 錦北門市
26301 >>> 萊爾富便利商店 北市湖康店
26312 >>> 全家便利商店 忠興店
26318 >>> 全家便利商店 福林店
26349 >>> 全家便利商店 大安店
26354 >>> 全家便利商店 仁慈店
26358 >>> 全家便利商店 忠愛店
26367 >>> 全家便利商店 建國門市
26374 >>> 全家便利商店 新遠企店
26375 >>> 全家便利商店 和茂門市
26377 >>> 7-ELEVEN 樂和門市
26381 >>> 全家便利商店 敦安店
26382 >>> 7-ELEVEN 新東帝門市 
26405 >>> 全家便利商店 台大楓林店
26406 >>> 全家便利商店 延吉店
26410 >>> 全家便利商店 台興店
26412 >>> 全家便利商店 國父紀念館店
26413 >>> 7-ELEVEN 臨江門市 
26414 >>> 全家便利商店 安居店
26420 >>> 全家便利商店 東方店
26421 >>> 全家便利商店 台科店
26425 >>> 全家便利商店 安富店
26431 >>> 全家便利商店 復豐店
26432 >>> 全家便利商店 泰順店
26433 >>> 全家便利商店 統領店
26435 >>> 全家便利商店 敦鼎店
26443 >>> 7-ELEVEN 通化門市
26444 >>> 7-ELEVEN 立仁門市 
26449 >>> 全家便利商店 延安二店
26452 >>> 7-ELEVEN 富陽門市
26454 >>> 全家便利商店 羅騰店 
26458 >>> 7-ELEVEN 便利商店
26466 >>> 7-ELEVEN 泰利門市 
26467 >>> 7-ELEVEN 統領門市 
26468 >>> 萊爾富便利商店 大安新台大店
26473 >>> OK便利商店 黎忠門市
26475 >>> 全家便利商店 興仁店
26479 >>> 7-ELEVEN 新國聯門市 
26486 >>> 7-ELEVEN 國館門市 
26492 >>> 全家便利商店 新安興店
26495 >>> 全家便利商店 興華店
26498 >>> 萊爾富便利商店 汐止千萬店
26499 >>> 全家便利商店 大南店
26504 >>> 全家便利商店 福港店
26505 >>> 全家便利商店 葫蘆店 
26518 >>> 全家便利商店 天強店
26520 >>> 全家便利商店 文鑫店
26522 >>> 全家便利商店 鑫林店
26528 >>> 全家便利商店 新葫東店
26533 >>> 全家便利商店 永新店
26536 >>> 全家便利商店 社正店
26538 >>> 全家便利商店 大北店
26543 >>> 萊爾富便利商店 士林承德店
26544 >>> 萊爾富便利商店 北市士海店
26546 >>> 全家便利商店 新光醫院店
26554 >>> 全家便利商店 新格致店
26567 >>> 全家便利商店 鑫社店
26580 >>> 全家便利商店 大東店
26604 >>> 7-ELEVEN 日安門市
26610 >>> 7-ELEVEN 福陽門市
26617 >>> 全家便利商店 華勝店
26623 >>> 全家便利商店 振華店
26637 >>> 全家便利商店 欣富台店
26639 >>> 全家便利商店 永林店
26659 >>> 全家便利商店 光明店
26668 >>> 全家便利商店 中永店
26680 >>> 7-ELEVEN 和信醫門市
26683 >>> 7-ELEVEN 關渡門市
26692 >>> 7-ELEVEN 新豪美門市
26718 >>> 全家便利商店 興政店
26719 >>> 全家便利商店 景富店 
26720 >>> 全家便利商店 華德店
26721 >>> 全家便利商店 景中店
26725 >>> 全家便利商店 仙岩店
26727 >>> 全家便利商店 木新店
26728 >>> 全家便利商店 名門店 
26730 >>> 全家便利商店 世景店
26731 >>> 全家便利商店 欣榮店
26733 >>> 全家便利商店 景文店
26734 >>> 全家便利商店 文山公宅店
26736 >>> 全家便利商店 試院店
26737 >>> 全家便利商店 萬福店 
26739 >>> 全家便利商店 政富店
26740 >>> 全家便利商店 興崙店 
26744 >>> 全家便利商店 興業店
26745 >>> 全家便利商店 木興店
26747 >>> 全家便利商店 景後店
26752 >>> 全家便利商店 順輝店
26755 >>> 全家便利商店 明興店
26756 >>> OK便利商店 木柵軍功店
26758 >>> 全家便利商店 興昌店
26760 >>> 美廉社 文山萬安2店
26770 >>> 全家便利商店 再興店
26771 >>> 全家便利商店 羅美店
26773 >>> 全家便利商店 新福興店
26774 >>> 7-ELEVEN 興北門市
26776 >>> 全家便利商店 萬興店 
26777 >>> 全家便利商店 新文華店 
26779 >>> 全家便利商店 順輝店
26781 >>> 全家便利商店 景和店 
26787 >>> 美廉社 文山忠順店二
26789 >>> 全家便利商店 中科大店 
26794 >>> 全家便利商店 興園店
26795 >>> 7-ELEVEN 忠順門市 
26799 >>> 7-ELEVEN 興芳門市
26803 >>> 全家便利商店 景興店
26809 >>> 蜜鄰便利超市 台北興隆店
26810 >>> 7-ELEVEN 興隆門市 
26819 >>> 7-ELEVEN 萬瑞門市
26820 >>> 義美食品 景美門市
26823 >>> 7-ELEVEN 北福興門市
26828 >>> 全家便利商店 祥和店
26829 >>> 全家便利商店 大道店
26833 >>> 全家便利商店 莊新店
26839 >>> 全家便利商店 忠林店
26842 >>> 7-ELEVEN 信德門市
26845 >>> 全家便利商店 海華店
26847 >>> OK便利商店 台北富陽店
26849 >>> 美廉社 信義莊敬店
26850 >>> 全家便利商店 新中坡店
26851 >>> 7-ELEVEN 信義門市 
26852 >>> 7-ELEVEN 信醫門市
26855 >>> 全家便利商店 盛興店
26859 >>> 7-ELEVEN 信遠門市
26865 >>> 7-ELEVEN 國貿門市
26867 >>> 全家便利商店 忠美店
26868 >>> 7-ELEVEN 凱悅門市 
26875 >>> 全家便利商店 厚雅店
26877 >>> 全家便利商店 永孝店
26878 >>> 7-ELEVEN 松信門市
26881 >>> 7-ELEVEN 敦厚門市
26886 >>> 7-ELEVEN 麟運門市
26896 >>> 全家便利商店 新忠隆店
26898 >>> 7-ELEVEN 仁和門市
26902 >>> 全家便利商店 逸鑫店
26903 >>> 義美食品 北市光復南門市
26905 >>> 7-ELEVEN 鑫忠孝門市
26906 >>> 全家便利商店 新成鑫店
26910 >>> 全家便利商店 中和景欣店
26916 >>> 全家便利商店 新莊研店 
26917 >>> 全家便利商店 南港車站店
26918 >>> 全家便利商店 研究院店
26921 >>> 全家便利商店 經貿店
26923 >>> 全家便利商店 新昆陽店
26925 >>> 全家便利商店 南港公宅店
26926 >>> 全家便利商店 港成店
26928 >>> 全家便利商店 工業一店
26930 >>> 全家便利商店 全家富康店 
26932 >>> 全家便利商店 中視門市 
26936 >>> 全家便利商店 北鑫店
26939 >>> 全家便利商店 工業二店
26945 >>> 萊爾富便利商店 南港慈祐宮店
26946 >>> 7-ELEVEN 商店
26948 >>> 全家便利商店 工業三店
26949 >>> 全家便利商店 向陽店
26952 >>> 全家便利商店 中研店
26954 >>> 全家便利商店 宏展店
26955 >>> 美廉社 南港玉成店
26964 >>> 7-ELEVEN 慈愛門市
26990 >>> 全家便利商店 汐止力行店
26991 >>> 全家便利商店 汐止宜興店
26994 >>> 美廉社 富陽店
27000 >>> 全家便利商店 康雲店
27003 >>> 全家便利商店 湖濱店
27009 >>> 全家便利商店 新三總店
27013 >>> 全家便利商店 瑞興店
27019 >>> 全家便利商店 德陽門市
27021 >>> 全家便利商店 湖捷店
27022 >>> 全家便利商店 碧湖店
27023 >>> 全家便利商店 港華店
27024 >>> 全家便利商店 新湖店
27025 >>> 7-ELEVEN 成湖門市
27041 >>> 全家便利商店 瑞亞店
27042 >>> 7-ELEVEN 墘運門市
27043 >>> 全家便利商店 瑞陽店
27046 >>> 全家便利商店 明美店
27051 >>> 全家便利商店 新東湖店
27058 >>> 全家便利商店 興盛店
27076 >>> 全家便利商店 內華店
27095 >>> 美廉社 內湖安泰店
27104 >>> 全家便利商店 瑞豐店
27119 >>> 全家便利商店 深坑昇高店
27121 >>> 美廉社 深坑埔新店
27134 >>> 全家便利商店 金山中山店
27135 >>> 全家便利商店 金山金中店
27136 >>> 全家便利商店 金山金美店
27143 >>> 全家便利商店 萬里頂社店
27144 >>> 全家便利商店 野柳新港口店
27146 >>> 全家便利商店 三芝吉祥店
27150 >>> 7-ELEVEN 柳豐門市
27151 >>> 全家便利商店 汐止伯爵店
27156 >>> 全家便利商店 淡水富山店 
27160 >>> 全家便利商店 汐止新水蓮店
27162 >>> 全家便利商店 淡水鄧公店 
27163 >>> 全家便利商店 汐止興龍店
27174 >>> 全家便利商店 汐止汐旺店
27185 >>> 全家便利商店 汐止新興店
27186 >>> 全家便利商店 汐止宏國店
