編號	地址
65864 >>> 台北市中正區汀州路三段188號7樓
65865 >>> 台北市中正區忠孝西路一段50號6樓
65866 >>> 台北市中正區南昌路一段123號2樓之2
65867 >>> 台北市中山區民生東路一段29號B1
65868 >>> 台北市中正區新生南路一段60號3樓
65872 >>> 台北市中正區和平西路一段2號B1
65880 >>> 台北市大同區鄭州路119號B1
65886 >>> 台北市大同區長安西路152號1樓
65889 >>> 台北市松山區八德路3段36號B1
65898 >>> 台北市萬華區西寧南路36號B1
65899 >>> 台北市萬華區水源路199號
65900 >>> 台北市萬華區成都路四號11樓
65903 >>> 台北市萬華區漢口街二段73號B1
65915 >>> 台北市松山區南京東路五段196號1樓
65925 >>> 台北市大安區復興南路一段62號3樓
65926 >>> 台北市大安區新生南路三段58號B1
65927 >>> 台北市大安區忠孝東路四段218-1號阿波羅大廈C棟3樓
65933 >>> 台北市大安區忠孝東路四段250號2樓之3
65934 >>> 台北市大安區和平東路二段257號3樓
65936 >>> 台北市大安區忠孝東路四段303號B1
65943 >>> 台北市大安區敦化南路二段59號1樓
65944 >>> 台北市大安區延吉街153-2號B1
65946 >>> 台北市大安區忠孝東路四段226號8樓
65952 >>> 台北市大安區信義路二段74號10樓
65953 >>> 台北市大安區復興南路一段125號3樓
65956 >>> 台北市大安區忠孝東路四段250號2樓之4
65957 >>> 台北市大安區忠孝東路四段60號2樓
65961 >>> 台北市復興南路一段249號4樓
65963 >>> 台北市松山區南京東路四段15號3樓之1
65964 >>> 台北市大安區基隆路二段132巷2樓8F-1
65965 >>> 台北市大安區忠孝東路四段200號13樓
65978 >>> 台北市北投區裕民六路120號5樓
65992 >>> 台北市士林區中正路122-1號B1
65993 >>> 台北市士林區忠誠路二段188號B1
65995 >>> 台北市文山區興隆路二段252號B1
65997 >>> 台北市文山區興隆路三段71號
66003 >>> 台北市文山區木新路二段113號1樓
66007 >>> 台北市中正區羅斯福路四段68號2樓
66008 >>> 台北市中山區復興北路344號3樓
66012 >>> 新北市新店區中興路三段1號5樓
66013 >>> 台北市信義區市府路45號6樓
66016 >>> 台北市中山區樂群二路187號5樓之2
66019 >>> 台北市中山區南京東路二段97號B1
66020 >>> 台北市中山區中山北路二段115巷41號1樓
66021 >>> 台北市中山區建國北路三段39號2樓
66022 >>> 台北市中山區新生北路一段83號B1
66025 >>> 台北市中山區民生東路一段72樓之1
66027 >>> 台北市松山區復興北路331號2樓
66030 >>> 台北市中山區復興北路150號7樓之1
66032 >>> 台北市中山區中山北路一段105巷11號3樓
66035 >>> 台北市中山區松江路122號B1
66037 >>> 台北市士林區中山北路五段687號2樓-1
66040 >>> 台北市中山區松江路276號6樓
66041 >>> 台北市中山區建國北路二段123號2樓
66044 >>> 台北市長安東路二段49號2樓
66047 >>> 台北市中山區林森北路612號2樓
66051 >>> 台北市松山區南京東路四段50號4樓之5
66065 >>> 新北市中和區中山路三段35-3號1樓
66074 >>> 新北市中和區中山路二段291號8樓
66079 >>> 台北市松山區八德路四段666號4樓
66083 >>> 台北市松山區復興北路150號7樓之1室
