 編號		店家名稱
64291 >>> 安和100酒店
64299 >>> Tuntex barber shop
64305 >>> 大學部半導體實驗室
64310 >>> 台北娛樂ktv酒店
64314 >>> 雅士達夜總會
64318 >>> 星光百分百大歌廳
64323 >>> 凱帝大舞場
64340 >>> Amour
64343 >>> 皇廷會所
64352 >>> 佳麗寶
64355 >>> Luce
64359 >>> 中華音樂人交流協會
64360 >>> 頂客歌友會
64364 >>> 立太科技股份有限公司
64370 >>> 鶴酒吧
64371 >>> 歡鑫音樂餐廳
64372 >>> 181音樂坊
64374 >>> 富麗商聯所
64376 >>> 來家演歌
64377 >>> 東帝夜總會
64378 >>> 阿寶歌友會
64387 >>> Chess Taipei
64388 >>> 89 LOOP Sports Bar美式餐酒館
64392 >>> 亞才行歌友會
64396 >>> 彩虹俱樂部
64397 >>> 叮咚純歌友會
64398 >>> 羅淑蕾會計師事務所
64400 >>> DISCO
64402 >>> 開心歌友會
64409 >>> 神奇小木屋
64413 >>> 中福納骨塔
64416 >>> 嘉年華卡拉OK
64418 >>> 墨爾攝影棚
64419 >>> 紅緹歌坊
64421 >>> 肘眾慨企業
64428 >>> 幸福城小吃館
64430 >>> 金典
64434 >>> 866歌友會
64435 >>> 260歌友會
64437 >>> 藍蝶卡啦ok會館
64439 >>> 夢幻歌友會
64440 >>> 湳仔之夜歌友會
64441 >>> 金上海歡唱100
64442 >>> 小月亮歌友會
64443 >>> 世世如意卡拉OK
64444 >>> 芝佳歌歌友會
64445 >>> 好朋友歡唱聯誼
64446 >>> 私立文星舞蹈短期補習班
64449 >>> 徳和里民大會活動中心
64458 >>> 雇人願管委會
64460 >>> 港都休閒舞場
64461 >>> 百樂門
64462 >>> 大湖尾電視塔
64466 >>> 純丁丁歌友會
64475 >>> 眉飛色舞CLUB酒店
64479 >>> 隨緣歡唱
64483 >>> 凱儷夜總會
64484 >>> 百分百歌城
64486 >>> 211歌友會
64487 >>> 豐鼎
64488 >>> 水玲瓏歌友會
64490 >>> 貨櫃屋俱樂部
64491 >>> 元之彫刺青（三芝店）
64493 >>> 88行館時尚KTV 酒店
64494 >>> 親親酒店
64495 >>> 心心相印媒合協会
64496 >>> 福明宮
64500 >>> 楓采酒店
64505 >>> 觀音區第五上大公墓
64509 >>> 金亨ktv酒店
64512 >>> 桃鄉卡啦ok
64513 >>> บ้านป๋า เถาหยวน (Ban-Papa) Thai Pub
64514 >>> 高平佳城
64518 >>> 世界聯合水產有限公司
64521 >>> 鍾 穎川佳城
64522 >>> 21世紀撞球館
64526 >>> 越姑娘
64527 >>> 杏紅飲食店
64528 >>> 梁氏文舉公公墓
64530 >>> 星光佳人音樂坊
64540 >>> 鴻禧別館星光夜總會
64549 >>> 聯鑽視聽歌唱坊
64551 >>> 中華悅曲歌有會
64566 >>> 威妮斯卡拉OK
64567 >>> 手藝
64568 >>> 金鼎大舞廳
64569 >>> 金都歌唱城
64571 >>> 瑪格蓮娜卡拉OK
64572 >>> 行政院勞工委員會職業訓練局中彰投區就業服務中心后里台
64580 >>> 停車場
64585 >>> 李宗翰
64586 >>> 18度 KTV
64591 >>> 金日歡唱卡拉OK
64596 >>> 菁果園檳榔
64598 >>> 菜埔蛋
64599 >>> 億佳貿易有限公司
64603 >>> 沙鹿第一公墓
64605 >>> 納骨塔
64606 >>> 沙鹿區第二公墓(禁葬)
64610 >>> 銘鋒禮儀
64611 >>> 貓頭鷹ktv
64613 >>> 夜上海歡唱廣場
64614 >>> 歡唱廣場
64615 >>> 巨星之夜
64616 >>> 金氏企業-自動販賣機相關用品
64618 >>> Nhà Thuỷ Linh
64619 >>> 彗星電子遊藝場
64622 >>> 嘉仁里土地公廟
64627 >>> 金樂神育樂廣場
64631 >>> Sauchi Mai
