 編號		店家名稱
49900 >>> 普濟寺
49901 >>> 大龍峒保安宮
49902 >>> 臺北法主公廟
49903 >>> 平光寺
49904 >>> 蓬萊廟
49905 >>> 龍雲寺
49906 >>> 台北市大龍峒包公廟/台北廟宇/台北景點/台北安太歲/台北光明燈/台北平安燈/台北財利燈
49907 >>> 福德廟
49908 >>> 瞿公真人廟
49909 >>> 協天宮
49910 >>> 大稻埕千歲宮
49911 >>> 大龍峒福壽宮
49912 >>> 台北聖公媽廟
49913 >>> 承德宮
49914 >>> 臺北市孔廟
49915 >>> 法鼓山大同辦事處
49917 >>> 雙連永靜廟孚佑帝君
49918 >>> 臨濟護國禪寺
49919 >>> 大稻埕慈聖宮天上聖母
49920 >>> 萬和宮
49921 >>> 和德祠
49922 >>> 北門口福聚宮
49923 >>> 醒心宮
49924 >>> 龍雲禪寺
49925 >>> 三和宮
49926 >>> 糾察宮
49928 >>> 真聖堂
49929 >>> 萬古聖公廟
49930 >>> 景福宮
49931 >>> 覺修宮
49932 >>> 台北霞海城隍廟
49933 >>> 福民宮
49934 >>> 九府仙師廟
49935 >>> 普願宮
49936 >>> 東和禪寺
49937 >>> 玄天宮
49938 >>> 台北法華寺
49939 >>> 慈雲寺
49940 >>> 樹人書院文昌祠
49941 >>> 十普寺
49942 >>> 臺北天后宮
49943 >>> 龍山寺
49944 >>> 和安宮
49945 >>> 艋舺清水巖
49946 >>> 延平宮
49947 >>> 台北照元宮
49948 >>> 士林葫蘆寺
49949 >>> 廣澤宮
49950 >>> 陳德星堂
49951 >>> 【金斗公】
49952 >>> 聖靈寺
49953 >>> 台灣台北普濟禪寺
49954 >>> 法鼓山 農禪寺
49955 >>> 艋舺地藏王廟
49956 >>> 中觀堂
49957 >>> 士林神農宮
49958 >>> 劍潭古寺
49959 >>> 台北市文昌宮
49960 >>> 金龍禪寺
49961 >>> 佛光山普門寺
49962 >>> 北投普濟寺
49963 >>> 士林慈諴宮
49964 >>> 台北市景福宮
49965 >>> 北投法藏寺
49966 >>> 土地公(新興宮)
49967 >>> 照明淨寺
49968 >>> 大同黃帝神宮
49970 >>> 中嶽殿-地藏王菩薩
49972 >>> 天佛禪寺
49973 >>> 臺灣省城隍廟
49974 >>> 芝山 聖佑宮(石頭公廟)
49975 >>> 九蓮寺
49976 >>> 龍鳳宮
49977 >>> 法雨寺
49978 >>> 東方寺
49979 >>> 恆光禪寺
49980 >>> 奉聖宮
49981 >>> 北門四面佛-媚南平（泰國佛牌）
49982 >>> 真修寺
49983 >>> 雲來寺
49984 >>> 艋舺青山宮
49986 >>> 峰碧山圓覺寺
49987 >>> 北投彌陀寺
49988 >>> 廣福宮
49989 >>> 寶藏巖觀音亭
49990 >>> 五福財神爺廟
49991 >>> 關渡宮
49992 >>> 台北市承天宮
49993 >>> 艋舺福德宮
49994 >>> 財團法人臺灣省臺北縣三重市慈惠宮
49995 >>> 碧霞宮
49996 >>> 湧蓮寺
49997 >>> 木柵忠順廟
49998 >>> 土地公(中崙福順宮)
50000 >>> 竹林山觀音寺
50001 >>> 福安宮
50003 >>> 松山慈祐宮
50004 >>> 長春四面佛
50006 >>> 福景宮
50007 >>> 板橋接雲寺
50008 >>> 北投代天府
50009 >>> 文武大眾廟
50010 >>> 南聖宮
50011 >>> 松山霞海城隍廟
50012 >>> 行天宮(北投分宮)
50013 >>> 善導寺
50014 >>> 光華寺
50015 >>> 通法寺
50016 >>> 福德爺長慶廟
50018 >>> 南福宮
50019 >>> 聖母宮
50020 >>> 台北秀惠宮
50021 >>> 二二八公園福德宮
50022 >>> 永興宮
50024 >>> 龍興宮
50025 >>> 古亭地府陰公廟
50026 >>> 義靈宮
50028 >>> 東門正德宮
50029 >>> 土地公(東門福德宮)
50030 >>> 慈恩宮
50031 >>> 永義宮
50033 >>> 法鼓山護法總會城中分會
50035 >>> 晉德宮
50039 >>> 報恩寺
50040 >>> 臺北慈安宮
50041 >>> 萬隆集應廟
50042 >>> 福德正神
50043 >>> 白鬚公廟
50044 >>> 財團法人台北市中崙福成宮
50046 >>> 景美集應廟
50047 >>> 福興宮
50048 >>> 聚福廟
50049 >>> 台北慈光廟
50050 >>> 南海普陀山慧濟寺 Nanhai Putuoshan Huiji Temple
50051 >>> 太璞宮孚佑帝君呂仙祖
50052 >>> 台北府城隍廟
50053 >>> 奉天宮
50054 >>> 指南宮
50055 >>> 三介廟
50056 >>> 台北火聖廟
50057 >>> 松山水福宮
50058 >>> 木柵集應廟
