 編號		店家名稱
49916 >>> 聖觀寺
49927 >>> 財團法人台北市雙福宮
49969 >>> 台北市大龍峒行天府
49971 >>> 禪淨寺
49985 >>> 財團法人軒轅教臺北黃帝神宮
49999 >>> 北投天寶聖道宮
50002 >>> 靈山聖地北靈宮上帝公廟-北極玄天上帝
50005 >>> 財團法人新北市三重區先帝宮
50017 >>> 三世宮
50023 >>> 聖安宮
50027 >>> 如來禪寺
50032 >>> 財團法人十方禪林文教基金會
50034 >>> 大雄精舍
50036 >>> 金雞-五帝廟
50037 >>> 臺大伯公亭
50038 >>> 應媽廟
50045 >>> 財團法人台北市雙境廟
50059 >>> 昭明寺
50065 >>> 新店慈玄寺
50074 >>> 靈法寺
50087 >>> 石碇五路財神廟
50091 >>> 淡水義山集應廟
50114 >>> 普陀山慈航寺
50122 >>> 藥師寺
50128 >>> 山神廟 - 虎山步道
50130 >>> 台北市文山區頂公館福德宮
50148 >>> 清雲寺
50151 >>> 慈聖宮
50152 >>> 三清宮
50155 >>> 朱厝崙福聚宮
50165 >>> 碧霞宮
50173 >>> 慈法禪寺
50176 >>> 中華佛教直貢噶舉協會 C.B.D.K.A.
50182 >>> 九天玄女娘娘宮
50184 >>> 金剛寺
50197 >>> 臺北保霞宮
50206 >>> 福聚宮
50207 >>> 台北市佛教青年會
50210 >>> 斗六南聖宮台北行宮
50212 >>> 天一宮
50215 >>> 光明院
50216 >>> 普賢佛教文物
50217 >>> 淨光寺
50224 >>> 法鼓山中山精舍
50225 >>> 慈雲寺
50231 >>> 觀音佛祖
50243 >>> 楊梅回善寺
50258 >>> 聚德宮
50265 >>> 金安宮
50269 >>> 保儀宮
50270 >>> 巖清寺
50273 >>> 萬華迦納聚福宮
50277 >>> 艋舺照天宮
50294 >>> 慈善總堂
50301 >>> 泰安宮(天上聖母)
50303 >>> 普照寺
50304 >>> 佛慈禪寺
50311 >>> 念佛寺
50314 >>> 清寶宫
50317 >>> 台北市巴麥佛學會
50323 >>> 台北大安【聖母宮】福安宮/必應堂
50324 >>> 龍興宮
50328 >>> 台北市岡波巴金剛乘佛學會
50329 >>> 台北市妙妙佛教蓮社
50337 >>> 三皇宮
50342 >>> 佛國寺
50353 >>> 【晉安宮】福德正神
50355 >>> 金山財神廟
50358 >>> 烏來龍太宮
50363 >>> 飛龍寺
50367 >>> 慈雲寺
50368 >>> 慈雲寺
50371 >>> 慈安寺
50374 >>> 合誠宮
50384 >>> 德聖宮
50387 >>> 景安宮
50390 >>> 後港百齡宮
50391 >>> 威靈廟
50392 >>> 三腳渡天德宮
50397 >>> 總持寺
50399 >>> 天聖宮
50403 >>> 福安宮
50424 >>> 八仙福德宮
50425 >>> 北投福安宮
50431 >>> 鎮安宮
50432 >>> 奉天聖母宮
50435 >>> 陽明黃帝神宮
50439 >>> 天岳山慈修禪寺
50442 >>> 萬善同公祠
50457 >>> 福德祠
50469 >>> 財團法人金龍院
50476 >>> 聖明宮
50485 >>> 鳳山殿
50507 >>> 黃狀元公廟
50514 >>> 淨蓮念佛會
50515 >>> 寶光寺
50519 >>> 極樂殯儀館極樂公墓辦事處
50524 >>> 南興廟
50527 >>> 紫玄宮
50529 >>> 台北文山興安宮
50532 >>> 普照寺
50547 >>> 紫範宮
50559 >>> 受旨宮
50560 >>> 佛心寺
50570 >>> 財團法人下文山清水祖師
50575 >>> 石碇姑娘廟
50588 >>> 南港金山寺
50595 >>> 梵音洞
50603 >>> 善南宮
50617 >>> 水玄宮
50622 >>> 千手千眼觀音寺
50629 >>> 松山鎮東宮
50638 >>> 萬聖宮
50651 >>> 北天廟
50656 >>> 鳳山寺
50660 >>> 地藏禪寺板橋寶橋精舍
50671 >>> 慧德宮
50674 >>> 普賢寺
50676 >>> 板橋足天宮
50677 >>> 板橋三媽寺
50690 >>> 天后宮
50704 >>> 板橋 港尾福德宮
50705 >>> 庭天宮
50706 >>> 板橋區北門福德宮
50717 >>> 三德講堂
50720 >>> 四汴頭廣厚宮
50724 >>> 板橋聖仁宮管理委員會
50725 >>> 板橋無極宮
50727 >>> 福星宮
50730 >>> 慈惠宮
50738 >>> 土城北辰宮
50743 >>> 竹林禪寺
50755 >>> 泰山大覺寺
50757 >>> 北天宮
50760 >>> 瓊仔湖福德宮
50770 >>> 西龍巖觀音廟
50775 >>> 鎮南宮石媽祖廟
50781 >>> 金海禪寺
50783 >>> 天祥寶塔禪寺
50784 >>> 善德寺
50786 >>> 圓濟寺
50789 >>> 雙和宮
50790 >>> 萬里文武廟
50792 >>> 萬里區野柳里朝天宮
50793 >>> 萬里情月老廟
50795 >>> 福德廟
50797 >>> 國聖仁和宮周倉將軍
50799 >>> 保民宮
50802 >>> 香員林福德宮
50804 >>> 富士坪福德宮
50805 >>> 文尼真佛
50806 >>> 金山慈音寺
50807 >>> 佉羅山大覺寺
50808 >>> 聖安宮
50810 >>> 北城順清宮
50814 >>> 崁腳濟安宮廟
50816 >>> 永德寶宮
50818 >>> 土地公廟
50820 >>> 福德宮
50821 >>> 嚴淨寺
50823 >>> 慧明禪寺
50829 >>> 溪底新興宮
50832 >>> 金法林
50833 >>> 道光山永德寶宮
50834 >>> 福德堂
50835 >>> 金山朝天宮
50836 >>> 德光講堂
50839 >>> 四面佛
50840 >>> 萬里鑽金宮
50846 >>> 妙濟寺
50858 >>> 粳仔坪福德宮
50862 >>> 妙覺寺
50863 >>> 金包里廣安宮
50866 >>> 十八王公廟
50867 >>> 淡水興音寺
50869 >>> 九份天公廟
50877 >>> 慈願寺
50879 >>> 天佛禪寺
50881 >>> 蓮華寺
50886 >>> 北海聖雲宮
50888 >>> 乾華十八王公廟
50893 >>> 柑林威惠廟
50895 >>> 淡水太子廟
50898 >>> 忠寮大王廟
50903 >>> 碧潭寺
50906 >>> 觀音山妙雲寺
50910 >>> 開山院
50911 >>> 五寶慈湖禪寺
50912 >>> 台北靈巖山寺 雙溪小築
50919 >>> 金山慶元宮
50921 >>> 山神廟
50922 >>> 金山威靈宮三府王爺
50923 >>> 水流公廟
50924 >>> 法藏山極樂寺
50927 >>> 日月大天宮
50928 >>> 富福頂山寺
50930 >>> 台灣新北玉佛寺
50931 >>> 北新庄慈雲寺
50932 >>> 圓滿山慈音禪寺
50933 >>> 妙法寺上天老師
50934 >>> 忠順廟
50935 >>> 仙媽廟
50936 >>> 屏山天元宮
50937 >>> 北海天公廟
50938 >>> 福惠宮
50943 >>> 石門雪山玄武廟
50944 >>> 屯山古聖廟行忠堂
50945 >>> 三芝玉仙宮
50946 >>> 靈巖寺(滴水觀音)
50949 >>> 秀明宮
50952 >>> 廣欽寺
50954 >>> 聖南寺 頂寺
50969 >>> 佛所護念廟
50973 >>> 虎爺廟
50975 >>> 聖南寺
50976 >>> 八里五福宮
50979 >>> 福德宮
50982 >>> 九份摩梨山 長眉藥師精舍
50983 >>> 金山堂
50986 >>> 壽山宮
50987 >>> 金山福德宮
50990 >>> 白雲禪寺
50991 >>> 財團法人新北市金山慈音寺
50992 >>> 天佛禪寺
50994 >>> 保安宮
50995 >>> 福安宮
50996 >>> 上德宮
50997 >>> 坪林山林關聖宮
50999 >>> 正覺寺
51002 >>> 飛燕山正覺寺
51003 >>> 深坑福德宮
51004 >>> 土地公(梘腳坑土地公廟)
51005 >>> 深坑烏月三清巖
51006 >>> 天龍宮
51007 >>> 天南宮
51008 >>> 玄道宮
51009 >>> 玉旨無極慈母宮
51013 >>> 行德慈惠堂
51016 >>> 文山天寶聖道宮
51017 >>> 龍法禪寺
51020 >>> 玄清宮
51021 >>> 玄義宮
51022 >>> 元帥爺廟
51023 >>> 月老和合二仙殿
51024 >>> 石碇彭山天后宮
51025 >>> 玄元寶德宮
51026 >>> 石碇劉伯溫廟
51028 >>> 龍星殿
51031 >>> 雲台山大羅金仙府
51033 >>> 石碇玉天宮
51034 >>> 玉旨堂
51046 >>> 玉京山 大羅上仙府
51047 >>> 協德宮
51048 >>> 妙音寺
