編號		地址
49916 >>> 台北市大同區赤峰街33巷1號
49925 >>> 台北市大同區環河北路二段161巷5號
49927 >>> 台北市大同區雙連街37號
49949 >>> 台北市大同區環河北路一段419號
49969 >>> 台北市大同區大龍街79巷5號
49971 >>> 台北市大同區赤峰街77巷15號1樓
49980 >>> 台北市士林區小西街8號
49985 >>> 台北市大同區歸綏街79號
49999 >>> 台北市北投區幽雅路杏林巷5之1號
50002 >>> 桃園市龜山區大菁坑青龍嶺靈龜岩12之1號
50005 >>> 新北市三重區文化南路65巷13號
50008 >>> 台北市北投區豐年路一段35號
50017 >>> 台北市中正區汀州路3段104巷11弄3號
50023 >>> 台北市中正區市民大道三段8號光華商場6樓
50027 >>> 台北市中正區晉江街98巷7號
50034 >>> 台北市中正區信義路二段271號
50036 >>> 台北市中正區同安街99-10號
50037 >>> 台北市大安區台大校區尊賢會館旁
50049 >>> 台北市內湖區民權東路六段206巷143弄113號
50059 >>> 台北市士林區中山北路五段56號
50065 >>> 新北市新店區中興路一段102號
50073 >>> 台北市北投區幽雅路杏林巷2號
50074 >>> 台北市北投區長壽路20號
50076 >>> 基隆市信義區信二路270號
50087 >>> 新北市石碇鄉永定村大湖格路20-1號
50108 >>> 台北市信義區松山路664-10號5樓
50111 >>> 台北市信義區松山路臨677之7號
50112 >>> 台北市信義區松隆路327號4樓
50114 >>> 台北市信義區松山路677號
50119 >>> 台北市松山區光復北路105號5樓
50120 >>> 台北市信義區松山路677之31號
50122 >>> 台北市中山區中山北路4段1巷1弄6號旁
50130 >>> 台北市文山區公館街44號
50141 >>> 台北市信義區松山路538-2號
50148 >>> 台北市信義區松山路650巷15弄18之12號
50151 >>> 台北市信義區信義路5段150巷4之9號
50152 >>> 台北市南港區研究院路二段197巷5號
50155 >>> 台北市中山區龍江路55巷21號
50165 >>> 台北市內湖區碧霞路29號
50173 >>> 新北市土城區學府路一段23巷21號
50182 >>> 台北市南港區忠孝東路6段445號
50184 >>> 台北市中山區中山北路四段71巷2弄3號
50197 >>> 台北市中山區松江路226巷21號
50210 >>> 台北市中山區遼寧街45巷28號
50212 >>> 台北市中山區合江街17巷5號
50215 >>> 台北市中山區通北街165巷18號
50217 >>> 台北市士林區中山北路七段190巷113之3號
50224 >>> 台北市中山區民權東路一段67號9樓
50225 >>> 台北市南港區福山街44巷15弄1號
50231 >>> 台北市中山區敬業三路196號
50236 >>> 台北市南港區南港路一段30巷26-1號
50243 >>> 桃園市楊梅區環東路116號
50249 >>> 台北市萬華區武成街124號
50258 >>> 台北市萬華區環河南路二段125巷17號
50265 >>> 台北市萬華區華西街30巷12號
50270 >>> 台北市萬華區環河南路三段203號
50273 >>> 台北市萬華區東園街44號
50290 >>> 台北市內湖區環山路二段50巷14弄14號之7
50294 >>> 台北市南港區研究院路2段83號
50301 >>> 台北市大安區潮州街98巷33-3號
50302 >>> 新北市中和區圓通路369巷153之3號
50304 >>> 新北市瑞芳區員山子路39號
50306 >>> 台北市大安區瑞安街208巷47弄39號
50307 >>> 台北市大安區信義路二段28號13樓
50311 >>> 台北市大安區辛亥路三段284巷23號
50314 >>> 台北市大安區羅斯福路4段157巷4號
50322 >>> 台北市大安區大安路一段228號
50323 >>> 台北市大安區和平東路二段96巷7號之3
50324 >>> 台北市信義區光復南路419巷146號光復市場後院
50337 >>> 台北市文山區福興路63巷4弄7號
50338 >>> 新北市土城區中央路四段14號
50342 >>> 新北市泰山區明志路二段254巷16弄35號
50353 >>> 新北市土城區南天母路43號旁
50363 >>> 台北市士林區東山路25巷81弄62號
50367 >>> 台北市士林區平菁街95巷47 之2號
50368 >>> 台北市士林區天玉街112號
50371 >>> 台北市士林區至善路二段1巷36弄12號
50374 >>> 台北市士林區平菁街106巷6之1號
50380 >>> 台北市士林區承德路四段80巷40號
50384 >>> 台北市士林區延平北路7段臨215之5號
50387 >>> 台北市士林區延平北路8段2巷245號
50390 >>> 台北市士林區大南路423號
50391 >>> 台北市士林區延平北路九段2號
50392 >>> 台北市士林區福華里基隆河畔三腳渡碼頭
50397 >>> 台北市士林區環河北路三段179號
50399 >>> 台北市士林區永公路350巷55號
50403 >>> 台北市士林區中山北路六段315巷50弄1號 
50424 >>> 台北市北投區承德路七段401巷內
50425 >>> 台北市北投區公館路85巷2弄2號
50429 >>> 台北市北投區復興三路230巷274號
50431 >>> 台北市北投區公舘路401號
50432 >>> 台北市北投區石牌路2段343巷8弄28號之2
50435 >>> 台北市北投區豐年路1段20巷1號
50457 >>> 台北市內湖區康寧路一段236號
50467 >>> 台北市內湖區碧山路峰碧山圓覺寺入口處
50469 >>> 台北市內湖區內湖路三段256巷2號
50476 >>> 台北市內湖區安泰街191號
