編號		地址
62539 >>> 台北市萬華區康定路1號
62545 >>> 台北市萬華區西寧南路315號
62555 >>> 台北市大同區錦西街38巷14-2號
62599 >>> 台北市大安區忠孝東路三段300號8樓
62635 >>> 台北市中山區民生東路三段15號
62650 >>> 台北市中山區建國北路二段106號
62666 >>> 台北市士林區中山北路六段77號B1
62687 >>> 台北市信義區忠孝東路五段8號6樓
62699 >>> 新北市新店區民權路42巷59弄5號
62706 >>> 台北市松山區光復北路26巷1號
62722 >>> 台北市南港區研究院路一段28號
62735 >>> 台北市南港區成功路一段32號
62763 >>> 台北市北投區中央南路一段46號
62764 >>> 台北市北投區自強街170號
62767 >>> 台北市北投區承德路七段401巷335號
62771 >>> 台北市北投區石牌路一段27號
62772 >>> 台北市北投區明德路136巷1號
62788 >>> 新北市三重區重陽路一段107號
62822 >>> 台北市內湖區成功路四段213號1樓
62842 >>> 新北市林口區
62853 >>> 新北市新店區民族路91號1樓
62877 >>> 台北市內湖區洲子街73號
62892 >>> 台北市士林區忠誠路一段87號
62906 >>> 新北市新莊區中港路447號
62909 >>> 新北市八里區1-15號
62927 >>> 新北市板橋區文化路二段431號
62934 >>> 基隆市信義區
62940 >>> 新北市汐止區康寧街480號
62946 >>> 新北市汐止區中正路28號
62949 >>> 台北市南港區忠孝東路六段30號
62953 >>> 台北市內湖區
62955 >>> 新北市汐止區福德二路221號
62957 >>> 台北市內湖區
62958 >>> 新北市新店區中興路三段1號
62970 >>> 新北市五股區五權路30號
62994 >>> 新北市板橋區中山路一段265巷11號
63002 >>> 新北市中和區
63018 >>> 新北市樹林區大安路568-4號
63033 >>> 新北市板橋區4川路1段219號
63034 >>> 新北市中和區員山路517號
63057 >>> 新北市林口區南勢77號
63079 >>> 新北市新店區安康路一段302號之7
63097 >>> 新北市新莊區新泰路370號
63122 >>> 桃園市桃園區大興西路二段263號
63127 >>> 桃園市桃鶯路445之1號1樓
63134 >>> 桃園市八德區大福里介壽路一段214號1樓
63138 >>> 桃園市中壢區仁德五街5號
63168 >>> 桃園市桃園區新埔七街165號
63176 >>> 新北市林口區新寮1號
63177 >>> 新北市林口區後湖路35號
63179 >>> 新北市五股區民義路二段22巷3號
63181 >>> 新北市五股區自強路113巷5號
63187 >>> 新北市八里區五鄰23-6號
63190 >>> 基隆市中正區北寧路284之1號3樓
63191 >>> 基隆市暖暖區源遠路94號
63195 >>> 新北市淡水區下圭柔山71-1號
63200 >>> 新北市蘆洲區長榮路760號
63201 >>> 苗栗縣苗栗市水源里25-6號
63219 >>> 新北市汐止區秀山路87號
63225 >>> 新北市新店區建國路15號
63230 >>> 新北市永和區林森路41巷16號
63257 >>> 桃園市八德區和平路965號
63286 >>> 桃園市中壢區春德路189號
63298 >>> 桃園市中壢區
63310 >>> 桃園市大園區中正東路一段120號
63313 >>> 桃園市大園區埔心村11鄰68之16號
63314 >>> 桃園市觀音區新生路1451-1號
63321 >>> 桃園市平鎮區廣達里民族路二段11號
63333 >>> 新竹縣竹東鎮林森路41號
63344 >>> 新竹縣新埔鎮
63362 >>> 桃園市蘆竹區南崁路一段112號
63366 >>> 台中市南區樹義六巷2-2號
63384 >>> 桃園市蘆竹區南崁路一段112號
63387 >>> 桃園市蘆竹區大竹路483-4號
63402 >>> 桃園市大溪區信義路525巷10弄122號
63411 >>> 台中市南屯區文心南三路963號
63424 >>> 台中市南區忠明南路861號
63435 >>> 台中市北屯區景南巷
63456 >>> 台中市大里區益民路二段200號
63457 >>> 台中市南屯區黎明路二段516號
63479 >>> 台中市南屯區工業區二十一路23號
63481 >>> 台中市西區模範市場一巷72號
63494 >>> 台中市西屯區福上巷
63498 >>> 台中市豐原區民生街38號
63512 >>> 台中市西區台灣大道二段459號
63541 >>> 台中市北區梅亭街67號
63554 >>> 台中市西屯區台灣大道三段251號
63555 >>> 台中市北屯區長生一街29號
63587 >>> 台中市北屯區綏遠路二段97號
63594 >>> 彰化縣和美鎮
63617 >>> 台中市豐原區市前街18號
63624 >>> 台中市豐原區愛國街280號
63632 >>> 台中市太平區中山路三段2-8號
63641 >>> 台中市大里區大里路402號
63648 >>> 彰化縣彰化市
63651 >>> 台中市霧峰區
63653 >>> 嘉義市民生北路212號
63658 >>> 台中市台中市霧峰區中正路1168號
63665 >>> 台中市后里區甲后路一段471號
63667 >>> 台中市大甲區光明路300號
63673 >>> 彰化縣彰化市
63683 >>> 台中市豐原區豐勢路二段490號
63688 >>> 苗栗縣苑裡鎮6鄰65-67號
63696 >>> 台中市潭子區大新路74號
63697 >>> 台中市北屯區東山路一段322號
63699 >>> 台中市龍井區新庄里中沙路新庄仔巷1-6號
63700 >>> 台中市龍井區遠東街112號
63715 >>> 台中市龍井區
63718 >>> 台中市西屯區永安里西屯路3段146-2號
63720 >>> 台中市西區南屯路一段89號
63721 >>> 苗栗縣苑裡鎮北房13鄰6之11號
63736 >>> 台中市北屯區青島路三段141號
63773 >>> 台南市中西區文賢路90號
63779 >>> 台南市北區文賢路580號
63782 >>> 台南市北區文賢路504號
63787 >>> 台南市北區東豐路520號
63814 >>> 台南市東區中華東路一段366號
63823 >>> 台南市安南區海佃路二段113-15號
63827 >>> 台南市安南區海東里海佃路2段331號
63830 >>> 台南市安定區81-12號
63835 >>> 高雄市前鎮區中華五路1461號
63843 >>> 台南市仁德區山路799號
63853 >>> 台中市大甲區中山路一段1392號
63868 >>> 台南市北區林森路三段300號
63876 >>> 台南市永康區
63880 >>> 台南市永康區小東路647巷10弄11號
63883 >>> 台南市東區崇明里大同路2段841號
63891 >>> 台南市佳里區延平路177號
63904 >>> 高雄市楠梓區慶昌里後昌路708號
63911 >>> 台南市安定區保西里356 號
63915 >>> 嘉義縣民雄鄉大崎村大丘園20-30號
63920 >>> 高雄市左營區民族一路948號
63929 >>> 台南市新營區133之6號
63938 >>> 嘉義縣中埔鄉和美村司公部42號之179
63939 >>> 嘉義縣中埔鄉同仁20之18號
63949 >>> 嘉義縣鹿草鄉163縣道280號
63960 >>> 嘉義縣水上鄉柳子林1200-6號
63982 >>> 台南市白河區富民路432號
63989 >>> 嘉義縣太保市過溝里37-23號
63995 >>> 嘉義市西區市2鄉道647-2號
64006 >>> 高雄市鳳山區自治街15巷21號
64011 >>> 高雄市三民區大順二路688號1樓
64034 >>> 台南市路竹區大社路123號
64089 >>> 高雄市前鎮區中華五路789號
64098 >>> 高雄市前鎮區中華五路789號
64103 >>> 高雄市前金區成功一路266-1號
64138 >>> 高雄市左營區左營大路262號
64156 >>> 高雄市左營區左營大路2-24號
64164 >>> 高雄市仁武區永宏巷12弄23號
64173 >>> 高雄市左營區高鐵路123號9樓
64186 >>> 高雄市新興區中山一路214號
64193 >>> 高雄市楠梓區右昌街72號
64209 >>> 高雄市大寮區
64214 >>> 高雄市仁武區鳳仁路2巷14號
64216 >>> 高雄市阿蓮區1之61號
64219 >>> 高雄市大寮區義和里義和路123之19號
64261 >>> 高雄市楠梓區瑞屏路68號
64268 >>> 高雄市旗山區延平二路84號
64269 >>> 高雄市旗山區中學路17號
64283 >>> 嘉義縣水上鄉柳子林179-20號
62532 >>> 台北市萬華區環河南路一段181-1號
62533 >>> 台北市萬華區德昌街118號
62534 >>> 台北市萬華區環河南路一段189號1樓
62535 >>> 台北市萬華區和平西路三段174之4號
62536 >>> 台北市萬華區環河南路三段107號1樓
62537 >>> 台北市萬華區桂林路224巷1號
62540 >>> 台北市萬華區環河南路一段183號B1
62541 >>> 台北市萬華區長沙街二段62號6樓
62542 >>> 台北市萬華區環河南路一段189號
62547 >>> 台北市大同區涼州街2-13號
62548 >>> 台北市大同區赤峰街3巷28號
62549 >>> 台北市大同區重慶北路二段64巷20號
62550 >>> 台北市中正區濟南路二段13號
62551 >>> 台北市大同區重慶北路三段266號1樓
62552 >>> 台北市大同區重慶北路三段45號1樓
62554 >>> 台北市中山區南京西路12號7F
62556 >>> 台北市中山區南京西路10號5樓
62557 >>> 台北市大同區涼州街2-13號
62558 >>> 台北市大同區長安西路254號
62559 >>> 台北市中山區南京西路12號7樓
62560 >>> 台北市中山區南京西路12號7樓
62563 >>> 新北市三重區三和路一段49號
62565 >>> 台北市中山區新生北路二段23號
62567 >>> 台北市大安區復興南路一段205號1樓
62568 >>> 台北市中山區民權東路二段68號
62571 >>> 台北市大安區復興南路一段220號
62572 >>> 台北市大安區忠孝東路4段45號8F
62573 >>> 台北市士林區福港街232-2號1樓
62574 >>> 台北市中山區民權東路三段65號1樓
62575 >>> 台北市大安區通化街174-4號
62576 >>> 台北市大安區信義路三段67號
62580 >>> 台北市大安區新生南路一段143-1號
62581 >>> 台北市大安區仁愛路四段230號9樓
62583 >>> 台北市大安區基隆路二段164號1樓
62584 >>> 台北市大安區復興南路一段362號
62585 >>> 台北市大安區樂利路26號
62586 >>> 台北市大安區忠孝東路三段300號8F
62587 >>> 台北市大安區忠孝東路三段300號B3
62589 >>> 台北市大安區忠孝東路三段211號
62593 >>> 台北市大安區四維路14巷1-1號1樓
62594 >>> 台北市內湖區行善路448號1樓
62596 >>> 台北市內湖區新湖三路23號
62598 >>> 台北市大安區忠孝東路三段197號6樓
62601 >>> 台北市大安區濟南路三段24號
62602 >>> 台北市大安區忠孝東路四段45號8樓
62605 >>> 台北市內湖區瑞光路2號4F-1
62607 >>> 台北市大安區忠孝東路四段45號8樓
62608 >>> 台北市大安區忠孝東路四段45號8樓
62609 >>> 台北市中正區汀州路二段260號
62611 >>> 台北市中正區金山南路一段23號
62613 >>> 台北市中正區汀州路二段75號
62614 >>> 台北市中正區和平西路一段66號
62615 >>> 台北市中正區金山南路一段21號
62616 >>> 台北市中正區中華路二段141號
62617 >>> 台北市中正區羅斯福路一段129號
62619 >>> 台北市中正區重慶南路三段97號
62621 >>> 台北市中正區濟南路二段13號
62622 >>> 台北市中正區新生南路一段142號
62623 >>> 台北市中正區同安街47號
62624 >>> 台北市中正區泉州街137號
62625 >>> 台北市中正區泉州街91號
62628 >>> 台北市中正區忠孝西路一段66號10樓
62632 >>> 台北市北投區中央北路四段320號1樓
62633 >>> 新北市土城區中央路一段215號1樓
62634 >>> 台北市信義區莊敬路276號
62636 >>> 新北市永和區中正路736號
62637 >>> 台北市士林區德行東路191-1號1F
62638 >>> 新北市中和區安平路134巷1弄5號
62639 >>> 新北市永和區竹林路121號
62640 >>> 台北市內湖區新湖一路360號
62642 >>> 新北市新莊區中原路331號
62643 >>> 新北市林口區信義路58之8號
62644 >>> 台北市南港區忠孝東路七段569號
62645 >>> 新北市板橋區文化路一段138號4樓
62646 >>> 新北市三重區三張街128巷17號
62648 >>> 基隆市中正區信五路55號
62649 >>> 台北市中山區敬業三路20號3F
62651 >>> 台北市中山區建國北路二段258巷12號
62652 >>> 台北市中山區建國北路二段108號
62655 >>> 台北市中山區中山北路二段22-2號
62656 >>> 台北市中山區復興北路48號10F
62657 >>> 台北市中山區中山北路二段39巷3號B2F
62658 >>> 台北市中山區松江路237號7樓之1
62659 >>> 台北市中山區民生東路三段2號1F
62661 >>> 台北市中山區敬業三路20號
62662 >>> 台北市中山區堤頂大道二段499號1樓
62663 >>> 台北市士林區中山北路六段77號6樓
62665 >>> 台北市大同區重慶北路三段289號
62667 >>> 台北市松山區健康路243號1樓
62668 >>> 台北市士林區中山北路六段468之1號
62669 >>> 台北市內湖區金豐街50號
62670 >>> 台北市內湖區成功路二段273巷9號
62672 >>> 新北市中和區中山路二段386號1F
62675 >>> 台北市信義區永吉路189號
62676 >>> 台北市信義區松隆路206號
62677 >>> 台北市信義區松山路263號
