 編號		店家名稱
8221 >>> 台北市萬華區寶興街140巷52號
8222 >>> 台北市萬華區長沙街二段91號
8228 >>> 台北市信義區福德街268巷4弄3號
8236 >>> 台北市信義區基隆路一段143號
8237 >>> 台北市信義區基隆路一段176號
8248 >>> 台北市大安區信義路四段315號
8249 >>> 台北市信義區松德路6號
8258 >>> 台北市信義區松德路171號
8259 >>> 台北市信義區松隆路157號
8265 >>> 台北市信義區忠孝東路五段71巷11弄2號
8266 >>> 台北市信義區基隆路二段149-16號9樓
8271 >>> 台北市信義區松德路12號
8282 >>> 台北市松山區光復北路11巷46號10樓
8284 >>> 台北市大安區忠孝東路四段320號
8287 >>> 台北市中山區長春路408號
8297 >>> 台北市大同區民生西路240號
8302 >>> 台北市大同區承德路二段40號9樓
8306 >>> 台北市大同區寧夏路155號
8311 >>> 台北市大同區重慶北路一段22號
8314 >>> 台北市大同區長安西路180號
8324 >>> 台北市大同區長安西路66號2樓之1
8325 >>> 台北市大同區塔城街50巷11號
8327 >>> 台北市大同區承德路一段35號
8332 >>> 台北市中正區杭州南路一段11巷2-1號2樓
8333 >>> 台北市中正區杭州南路一段11巷2-1號2樓
8337 >>> 台北市中山區長安東路一段27號
8338 >>> 台北市內湖區港墘路185號
8342 >>> 台北市大安區忠孝東路四段148號3樓
8348 >>> 台北市大安區敦化南路1段205號15樓1505室
8353 >>> 台北市大安區復興南路一段11號
8369 >>> 台北市大安區仁愛路四段107號
8373 >>> 台北市大安區和平東路二段181號2樓
8380 >>> 台北市大安區敦化南路二段216號
8387 >>> 台北市大安區仁愛路三段126號
8388 >>> 台北市大安區潮州街116號
8393 >>> 台北市大安區敦化南路1段200號
8395 >>> 台北市大安區光復南路102號
8396 >>> 台北市大安區濟南路三段64號
8397 >>> 台北市大安區敦化南路二段5號
8400 >>> 台北市南港區園區街3號
8406 >>> 台北市松山區南京東路四段50號11樓
8416 >>> 台北市松山區南京東路四段51號5樓
8419 >>> 台北市松山區八德路三段20號9樓
8421 >>> 台北市松山區南京東路五段202號3樓
8434 >>> 台北市松山區八德路三段156號
8435 >>> 台北市松山區民權東路三段142號
8436 >>> 台北市松山區南京東路四段47號
8437 >>> 台北市松山區光復北路100巷21號
8439 >>> 台北市松山區八德路四段245巷32弄6號
8440 >>> 台北市松山區八德路四段123號
8443 >>> 台北市松山區民生東路五段165號
8444 >>> 台北市松山區南京東路四段130號
8464 >>> 台北市內湖區行善路118號
8466 >>> 台北市內湖區堤頂大道二段501號
8467 >>> 台北市中正區寧波西街80號5樓
8473 >>> 台北市中正區羅斯福路一段28號
8504 >>> 台北市中正區忠孝東路一段140號
8505 >>> 台北市中正區忠孝東路二段116號
8510 >>> 台北市中山區建國北路二段1號6樓
8512 >>> 台北市中正區博愛路76號
8513 >>> 台北市中山區中山北路二段79號3樓
8514 >>> 台北市中山區中山北路二段99號10樓之1
8515 >>> 台北市中正區北平東路30號
8517 >>> 台北市中正區金華街59號
8520 >>> 台北市中正區忠孝東路一段83號
8522 >>> 台北市中正區青島東路9號
8523 >>> 台北市中山區中山北路三段26號8樓之1
8524 >>> 台北市中正區廈門街131巷4號
8525 >>> 台北市中正區杭州南路一段63號
8526 >>> 台北市文山區羅斯福路五段192巷31號
8527 >>> 台北市中正區南海路20號4樓
8533 >>> 台北市文山區羅斯福路五段211巷18號
8571 >>> 台北市中山區長春路194號3樓
8577 >>> 台北市中山區南京東路二段137號
8579 >>> 台北市中山區松江路426號
8582 >>> 台北市中山區建國北路二段66號12樓
8585 >>> 台北市中山區林森北路432號
8591 >>> 台北市中山區南京東路三段91號
8592 >>> 台北市中山區長春路348號
8593 >>> 台北市中山區長春路100號
8594 >>> 台北市中山區民權東路三段58號
8595 >>> 台北市中山區南京東路二段206號
8596 >>> 台北市中山區復興北路2號
