 編號		店家名稱
34178 >>> 誠泰乾洗名店
34224 >>> 日盛洗衣店
34248 >>> 榮星乾洗商店
34259 >>> 衣朵洗衣 Indeed Dry Cleaners Ltd.
34264 >>> 宜洋乾洗
34282 >>> 惟新乾洗商店
34285 >>> 力美洗衣店
34287 >>> 多多乾洗中心
34293 >>> 力美洗衣
34294 >>> 巧炘乾洗名店
34296 >>> 誼潔自助洗衣店
34304 >>> 永和乾洗商店
34309 >>> 彭彭洗衣店
34313 >>> 立泰乾洗店
34327 >>> 陳記錦隆乾洗商店
34331 >>> 頂好乾洗商店
34334 >>> 開倫電腦專業乾洗
34335 >>> 誠德乾洗店
34344 >>> 雪倫精緻洗衣
34349 >>> 信原乾洗店
34353 >>> 四季洗衣有限公司
34356 >>> 1+4 節能概念洗衣連鎖 (南崁立宸店)
34358 >>> 宏美傳統洗衣店
34363 >>> 鼎新乾洗商店
34382 >>> 嘉賓洗衣店
34403 >>> 來來乾洗店
34407 >>> 衣朵有限公司-自助洗衣店
34409 >>> 東昇乾洗商店
34413 >>> 婕淨洗衣店
34433 >>> 花義發乾洗商店
34438 >>> 長欣乾洗名店
34443 >>> 財團法人心路社會福利基金會附設心路洗衣坊
34444 >>> 花義發商店
34448 >>> 豪川洗衣店
34449 >>> 坤達洗衣店
34455 >>> 天王乾洗店
34459 >>> 三羚乾洗名店
34460 >>> 迪雅洗衣店
34462 >>> 宏祥乾洗中心
34464 >>> 清白洗衣店
34485 >>> 頂新乾洗商店
34489 >>> 蒔楓-專業洗鞋洗包洗沙發
34495 >>> 喬翔乾洗商店
34545 >>> 泰順乾洗中心
34548 >>> 喬友洗衣店
34552 >>> 考而美乾洗商店
34559 >>> 美嘉綺洗衣店
34560 >>> 玉宗乾洗店
34561 >>> 志昌乾洗中心
34569 >>> 吉美洗衣店
34575 >>> 中泰乾洗店
34580 >>> 天祥乾洗商店
34611 >>> 宜園乾洗店
34614 >>> 能新洗衣器材行
34619 >>> 達新乾洗商店
34634 >>> 泉裕乾洗店
34637 >>> 美珈乾洗店
34640 >>> 民生洗衣店
34644 >>> 民生乾洗店
34656 >>> 洗e店投幣式自助洗衣坊(興安店)
34663 >>> 泰興洗衣店
34667 >>> 頂好洗衣-鑽石直營店
34670 >>> 民生社區 陽光自助洗衣店
34678 >>> 歡洗城洗衣連鎖(民生店)
34691 >>> 昕泰洗衣店
34699 >>> 建興機器乾洗商店(敦北營業所)
34708 >>> 倫敦洗染店
34727 >>> 全發乾洗
34741 >>> 快士潔乾洗
34747 >>> 蕎伊精緻乾洗
34748 >>> 正大專業洗衣股份有限公司
34781 >>> 益新乾洗商店
34798 >>> 日麗乾洗店
34810 >>> 還我清白洗衣工坊
34816 >>> 國泰乾洗商店
34820 >>> 高而雅機器乾洗染商店
34821 >>> 美美乾洗店
34823 >>> 衣學殿精緻洗衣/洗鞋 _永春 洗帽 洗包 皮衣 皮鞋
34830 >>> 全乾乾洗商店
34836 >>> 仟代乾洗
34838 >>> 榮豐乾洗衣店
34843 >>> 興隆洗衣店
34845 >>> 喬隆乾洗商店
34860 >>> 日成洗衣店
34866 >>> 大業乾洗商店
34875 >>> 文昌乾洗商店
34876 >>> 銘豐乾洗衣店
34885 >>> 仙履優質洗衣 大湖店-乾水洗/修改衣服/車名牌/洗地毯、窗簾/洗鞋
34886 >>> 美新洗衣連鎖
