編號	地址
34176 >>> 台北市大同區保安街57號
34178 >>> 台北市大同區保安街41號
34182 >>> 台北市中正區汀州路二段253號
34187 >>> 台北市中正區師大路154號
34189 >>> 台北市中正區同安街63號
34192 >>> 台北市中正區北平東路2之3號
34211 >>> 台北市大安區和平東路一段63號B1
34224 >>> 台北市中正區廈門街128號
34234 >>> 台北市大安區新生南路一段131號
34248 >>> 台北市中正區延平南路179巷1號
34258 >>> 台北市松山區民生東路五段176號
34259 >>> 台北市中山區新生北路二段96號1樓
34261 >>> 台北市中山區新生北路二段66之1號1樓
34264 >>> 台北市中正區辛亥路一段37巷3號
34282 >>> 台北市萬華區西園路二段320巷15號
34285 >>> 台北市文山區羅斯福路五段236巷8號,
34287 >>> 台北市大安區溫州街81號
34293 >>> 台北市大同區民族西路225巷4號
34294 >>> 台北市大安區和平東路二段265巷41號
34296 >>> 台北市中山區錦州街209號
34304 >>> 台北市中正區牯嶺街115號
34309 >>> 台北市萬華區和平西路三段179號
34312 >>> 新北市新莊區萬安街2
34313 >>> 台北市松山區三民路113巷5號
34327 >>> 台北市大同區重慶北路二段73巷23號
34331 >>> 台北市大安區復興南路一段122巷8號
34334 >>> 台北市中正區愛國東路116巷21號
34335 >>> 台北市中山區合江街127巷2號
34337 >>> 台北市士林區忠誠路二段160巷18號
34344 >>> 台北市中正區臨沂街75巷4之1號
34349 >>> 台北市松山區八德路三段155巷22號
34351 >>> 基隆市中正區義二路101號
34353 >>> 高雄市小港區鳳鳴路60號
34356 >>> 桃園市蘆竹區吉林路140號1樓
34358 >>> 桃園市大溪區中正東路22巷9號
34363 >>> 台北市中正區寧波西街64號
34370 >>> 台北市中山區林森北路310巷12號
34372 >>> 台北市中山區龍江路21巷9-4號1樓
34376 >>> 台北市中山區遼寧街115號1樓
34380 >>> 台北市中山區龍江路356巷64號
34381 >>> 台北市中山區長安東路一段51-4號
34382 >>> 台北市中山區松江路20號
34384 >>> 台北市中山區吉林路121-2號
34403 >>> 台北市中山區中原街129號
34407 >>> 台北市中山區德惠街41號
34409 >>> 台北市中山區中山北路二段59巷9號
34413 >>> 台北市中山區新生北路三段65號
34426 >>> 台北市中山區雙城街17巷13號
34429 >>> 台北市中山區林森北路310巷40號
34433 >>> 台北市中山區北安路458巷13號
34437 >>> 台北市中山區林森北路627號
34438 >>> 台北市中山區林森北路107巷89號
34443 >>> 台北市中山區北安路458巷41弄39號
34444 >>> 台北市中山區北安路458巷9號
34448 >>> 台北市中山區雙城街18巷20號
34449 >>> 台北市中山區中山北路二段65巷9號
34455 >>> 台北市中山區雙城街19巷20號
34459 >>> 台北市士林區大南路300號1樓
34460 >>> 台北市內湖區港墘路127巷16弄5號
