 編號		店家名稱
15683 >>> 台北市中正區
15698 >>> 台北市中正區濟南路二段46號B1
15728 >>> 台北市中正區中山南路一段7號
15761 >>> 台北市大安區羅斯福路三段293號
15805 >>> 台北市信義區信義路五段7號
15844 >>> 桃園市八德區介壽路二段135號
15855 >>> 台北市萬華區東園街174號
15956 >>> 台北市大安區建國南路二段151巷
15996 >>> 台北市大同區太原路117號 
16001 >>> 台北市大同區
16010 >>> 台北市大同區重慶北路三段120巷
16037 >>> 台北市大同區
16040 >>> 台北市松山區敦化南路1段2之1號
16068 >>> 台北市大同區南京西路82號
16157 >>> 台北市松山區南京東路四段161號
16162 >>> 新北市三重區三和路二段39號 
16223 >>> 台北市南港區園區街3號
16268 >>> 台北市士林區忠誠路一段16巷
16285 >>> 台北市士林區忠誠路一段177號1樓
16314 >>> 台北市士林區忠誠路一段177號1樓
16344 >>> 台北市士林區仰德大道二段2巷67號
16355 >>> 台北市士林區
16368 >>> 台北市士林區承德路四段83號3樓
16370 >>> 台北市士林區中正路301號1樓
16412 >>> 台北市士林區忠誠路二段5號
16416 >>> 台北市北投區致遠一路一段
16442 >>> 台北市大安區復興南路二段237號B1
16478 >>> 台北市大安區羅斯福路三段283巷11號1樓
16503 >>> 台北市大安區新生南路三段98號
16528 >>> 台北市大安區敦化南路二段39號
16532 >>> 台北市大安區忠孝東路四段107號5樓
16537 >>> 台北市大安區仁愛路四段75號
16558 >>> 台北市大安區信義路四段1-11號
16567 >>> 台北市大安區基隆路四段43號
16629 >>> 台北市中山區民權西路72號
16760 >>> 台北市大同區太原路119號
16761 >>> 台北市大同區南京西路301號
16765 >>> 新北市三重區福星里4鄰重新路1段108號B1
16808 >>> 台北市北投區光明路181號
16834 >>> 台北市北投區清江路55號
16896 >>> 台北市北投區明德路87號
16898 >>> 台北市北投區三合街一段116號1樓
16927 >>> 新北市淡水區學府路99號
16964 >>> 台北市信義區信義路五段20號B1
16977 >>> 台北市信義區松仁路97號1樓
17053 >>> 台北市信義區松仁路28號B1
17097 >>> 新北市板橋區文化路二段259號
17113 >>> 新北市板橋區懷德街127巷23弄7號
17127 >>> 新北市板橋區文化路二段182巷3弄93號1樓
17233 >>> 台北市內湖區
17262 >>> 台北市內湖區民權東路六段25號B1
17298 >>> 台北市南港區
17316 >>> 台北市內湖區瑞光路502號
17322 >>> 台北市內湖區民權東路六段42號2F
17346 >>> 台北市文山區木柵路四段77號
17370 >>> 台北市文山區指南路二段64號
17476 >>> 台北市文山區汀州路四段88號
17518 >>> 台北市南港區
17572 >>> 台北市南港區玉成街27號
17605 >>> 新北市深坑區北深路三段239號
17612 >>> 新北市石碇區隆盛村雙溪58號
17617 >>> 新北市石碇區民先館
17629 >>> 新北市平溪區
17639 >>> 新北市石門區阿里荖1鄰6之2號
17640 >>> 新北市萬里區頂社1號
17677 >>> 新北市三芝區
17729 >>> 基隆市中正區北寧路2號
17730 >>> 新北市三芝區49之2號
17753 >>> 新北市三峽區
17926 >>> 宜蘭縣宜蘭市東港路二段420號
17968 >>> 新北市板橋區中正路325巷25號1樓
18055 >>> 新北市板橋區漢生東路159號
18112 >>> 新北市汐止區信義路1號
18130 >>> 新北市汐止區中興路158號
18149 >>> 新北市三重區三和路四段380號B1
18434 >>> 新北市烏來區環山路62號
18583 >>> 新北市樹林區大雅路288號B1
18612 >>> 桃園市桃園區介壽路412與414號
18631 >>> 桃園市八德區松柏林135號
18633 >>> 桃園市八德區和平路196號
18669 >>> 新北市永和區得和路283號
18673 >>> 新北市永和區文化路18號
18674 >>> 新北市永和區竹林路195號
18698 >>> 新北市中和區連城路231號
18774 >>> 新北市板橋區莒光路36號
18775 >>> 新北市板橋區文聖街161號
18817 >>> 新北市樹林區中華路277號
18827 >>> 新北市樹林區中華路144號
18841 >>> 新北市樹林區
18846 >>> 新北市樹林區三福里12鄰三福街39號
18853 >>> 新北市土城區頂埔里24鄰中央路四段51之6號B3
18903 >>> 新北市蘆洲區中山一路161號B1
18904 >>> 桃園市中壢區民族路56號
18983 >>> 新北市三峽區插角里80號
18991 >>> 新北市三峽區插角里80號
19011 >>> 桃園市大溪區康莊路253號
19049 >>> 新竹縣關西鎮拱子溝60號
19059 >>> 新北市三重區福祉里18鄰捷運路36號B1
19069 >>> 新北市三重區菜寮里1鄰重新路3段150號B1
19158 >>> 新北市三重區
19163 >>> 新北市三重區重新路四段12號4樓
19230 >>> 新北市蘆洲區中興橋
19280 >>> 新北市土城區學成路80.82號
19298 >>> 新北市新莊區里源里2鄰思源路18號B1
19306 >>> 新北市新莊區榮和里12鄰中正路138號B1
19312 >>> 新北市新莊區榮和里12鄰中正路138號B1
19328 >>> 新北市新莊區里源里2鄰思源路18號B1
19341 >>> 新北市新莊區雙鳳里5鄰中正路758號B1
19407 >>> 新北市新莊區中正路
19410 >>> 新北市新莊區輔仁大學仁園
19533 >>> 新北市新莊區丹鳳里1鄰中正路624之1號B1
19538 >>> 新北市泰山區107縣道514號
19563 >>> 新北市林口區
19566 >>> 新北市林口區
19567 >>> 桃園市龜山區長庚一街102號
19581 >>> 新北市林口區中山路188之2號
19598 >>> 新北市林口區中湖40號之9號
19624 >>> 新北市林口區後湖50之1號
19629 >>> 新北市林口區下福9號B1樓
19645 >>> 桃園市龜山區復興街5之7號
19709 >>> 新北市板橋區新北
19737 >>> 新北市八里區
19766 >>> 新北市淡水區
19826 >>> 新北市三芝區田心子2號
19943 >>> 桃園市平鎮區興安路137號
19963 >>> 桃園市平鎮區中豐路山頂段3號
19964 >>> 桃園市平鎮區中豐路山頂段150號
20145 >>> 桃園市中壢區中央東路88號3樓
20172 >>> 桃園市中壢區環北路405號
20247 >>> 桃園市龍潭區民生路10號
20251 >>> 桃園市龍潭區中正路325號
20263 >>> 桃園市楊梅區三民路二段121巷96號
20270 >>> 桃園市大溪區員林路一段451號
20279 >>> 新竹縣關西鎮上三屯14號
20281 >>> 桃園市楊梅區中興路42號
20299 >>> 桃園市楊梅區
20300 >>> 新竹縣關西鎮明德路21號
20313 >>> 桃園市楊梅區和平路1.3號
20315 >>> 桃園市楊梅區永美路393號
20351 >>> 桃園市楊梅區光復北街10號
20374 >>> 桃園市桃園區
20383 >>> 新竹縣新豐鄉中崙村234號
20405 >>> 桃園市八德區介壽路二段1016號
20418 >>> 桃園市八德區廣福路805號
20422 >>> 桃園市八德區介壽路二段309號
20427 >>> 桃園市八德區建國路657號
20432 >>> 桃園市八德區介壽路二段360號
20458 >>> 桃園市大溪區仁和七街52號
20459 >>> 桃園市大溪區員林路一段11號
20497 >>> 桃園市大園區中正東路338號
20501 >>> 桃園市大園區園航路60號
20527 >>> 桃園市大園區拔子林23-83號
20543 >>> 桃園市觀音區大觀路二段55號
20643 >>> 桃園市桃園區桃園環線
20668 >>> 桃園市桃園區介壽路21號
20671 >>> 桃園市桃園區桃鶯路233號
20672 >>> 桃園市桃園區建國路40號
20699 >>> 桃園市龜山區振興路50號
20702 >>> 桃園市桃園區
20707 >>> 桃園市龜山區萬壽路二段1077號
20820 >>> 台中市東區自由路三段95號
20853 >>> 台中市中區台灣大道一段1號
20893 >>> 台中市中區自由路二段4號
20917 >>> 台中市中區
20943 >>> 花蓮縣壽豐鄉山嶺18號
20954 >>> 台中市中區
20975 >>> 台中市中區台灣大道一段85號
21012 >>> 台中市南區興大路145號
21022 >>> 台中市西區自由路一段140號
21038 >>> 台中市北區五權路356號
21063 >>> 台中市南屯區文心南三路300號
21075 >>> 台中市西區民權路239號
21114 >>> 台中市西區五權路1-128號
21140 >>> 台中市西屯區甘肅路一段18號
21181 >>> 台中市北屯區進化北路53號
21257 >>> 桃園市蘆竹區南崁路一段112號5樓
21303 >>> 桃園市桃園區同安街442-5、444號1、2樓
21326 >>> 台中市北區五義街132號
21422 >>> 台中市北屯區
21430 >>> 台中市北屯區北坑巷21之8號
21455 >>> 台中市西區五權路2-12號
21457 >>> 台中市西區公益路68號B1
21468 >>> 台中市西區健行路1046-1號
21478 >>> 台中市西區臺灣大道2段570號
21484 >>> 台中市中區中華路一段109號
21492 >>> 台中市北區
21513 >>> 台中市西屯區中港路三段118號
21518 >>> 台中市南屯區黎明路二段510號
21579 >>> 台中市北屯區
21595 >>> 台中市西屯區西屯路二段297-16號1樓
21604 >>> 台中市潭子區興華一路261號
21613 >>> 台中市太平區中山路二段343號
21652 >>> 台中市南屯區永春東七路602號1樓
21691 >>> 台中市大肚區遊園路二段2號
21699 >>> 台中市大肚區遊園路一段
21739 >>> 台中市西屯區
21761 >>> 台中市西屯區福雅路693號1樓
21767 >>> 台中市南屯區黎明路二段706號1樓
21770 >>> 台中市西屯區漢成四街2號
21778 >>> 台中市西屯區台灣大道三段592號1樓
21795 >>> 台中市北區台1乙線749號
21800 >>> 台中市北區太原路一段450號
21801 >>> 台中市西屯區
21839 >>> 台中市太平區新福路308號
21841 >>> 台中市太平區育賢路126號
21854 >>> 台中市太平區
21866 >>> 台中市大里區善化路146號
21887 >>> 台中市西屯區
21927 >>> 台中市大里區益民路二段35號
22011 >>> 台中市后里區福美路17號
22028 >>> 台中市豐原區豐中路79號
22066 >>> 雲林縣斗六市大學路三段123號
22079 >>> 台中市霧峰區柳豐路368號
22080 >>> 台中市霧峰區柳豐路368號
22090 >>> 台中市霧峰區民生路193號
22132 >>> 台中市豐原區大明路14號
22137 >>> 台中市豐原區市政路2號
22145 >>> 台中市豐原區圓環南路70號
22147 >>> 台中市豐原區中山路225號
22175 >>> 台中市潭子區雅豐街78號
22190 >>> 台中市大雅區中清路三段999號1、2樓
22197 >>> 台中市大雅區雅環路二段95號
22210 >>> 台中市東勢區
22233 >>> 苗栗縣卓蘭鎮上新里19鄰上新12號
22234 >>> 苗栗縣三義鄉西湖11號
22235 >>> 苗栗縣大湖鄉364號
22257 >>> 台中市龍井區台灣大道五段3巷62弄49號
22261 >>> 台中市龍井區
22314 >>> 台中市潭子區雅潭路二段372號
22317 >>> 台中市潭子區雅豐街323號
22324 >>> 台中市大雅區雅潭路四段491號
22337 >>> 台中市西屯區僑光路100號
22347 >>> 台中市神岡區中山路517號
22357 >>> 台中市大雅區學府路176-3號
22362 >>> 台中市大雅區中山路145號
22366 >>> 台中市大雅區
22369 >>> 台中市沙鹿區中航路一段281號
22376 >>> 台中市大雅區中清路三段1080號
22385 >>> 台中市沙鹿區台灣大道七段2號
22405 >>> 台中市沙鹿區北勢東路530號
22419 >>> 台中市清水區新興路119號
22474 >>> 台中市大甲區東陽新村71號
22504 >>> 台中市外埔區甲后路757之1號
22505 >>> 苗栗縣苑裡鎮山柑里2-2號
22514 >>> 苗栗縣苑裡鎮
22515 >>> 苗栗縣苑裡鎮新復132之13號
22523 >>> 苗栗縣苑裡鎮121縣道88號
22524 >>> 苗栗縣苑裡鎮七鄰山腳157號
22526 >>> 苗栗縣苑裡鎮客庄90之20號
22533 >>> 苗栗縣苑裡鎮為公路19號
22555 >>> 台中市龍井區中央路二段273號
22560 >>> 台中市龍井區中央路二段33號
22569 >>> 台南市中西區府前路二段
22612 >>> 台南市中西區樹林街二段33號
22620 >>> 台南市中西區永福路2段83號
22697 >>> 台南市永康區中正路529號
22750 >>> 台南市南區大同路二段136巷2號
22775 >>> 台南市南區夏林路1-16號
22787 >>> 台南市中西區五妃街190號
22789 >>> 台南市中西區五妃街270號
22797 >>> 台南市東區崇明路371號1樓~4樓
22824 >>> 台南市安南區科技公園大道15號
22846 >>> 台南市善化區文昌里益民寮60號
22847 >>> 台南市七股區台潭25號
22848 >>> 台南市官田區南廍32號
22870 >>> 台南市東區東門路二段
22948 >>> 台南市東區崇德路471號
22993 >>> 台南市新化區知義里新和庄551號
22994 >>> 台南市新化區那拔里牧場72號
22997 >>> 台南市新化區中正路540-1、2號
22998 >>> 台南市新化區中正路697號
23001 >>> 台南市新化區
23003 >>> 台南市新化區
23007 >>> 台南市善化區
23010 >>> 台南市新市區社內102-5號
