 編號		店家名稱
15606 >>> 匯豐銀行ATM(仁愛分行)
15607 >>> 北富銀ATM(國貿局)
15634 >>> 上海銀行ATM(仁愛分行)
15642 >>> 北富銀ATM(襄陽分行)
15643 >>> 遠東商銀ATM(台北東門分行)
15637 >>> 台灣銀行ATM(群賢分行)
15654 >>> 第一銀行ATM(總行營業部)
15675 >>> 安泰銀行ATM(南門分行)
15719 >>> 日盛銀行ATM(營業部)
15723 >>> 臺灣銀行ATM(城中分行)
15736 >>> 遠東商銀ATM ( 遠東聯合診所)
15737 >>> 安泰銀行ATM(汀州分行)
15755 >>> 上海銀行ATM(東台北分行)
15758 >>> 彰化銀行ATM(古亭分行)
15765 >>> 上海銀行ATM(中山分行)
15780 >>> 聯邦銀行ATM(中山分行)
15785 >>> 台企ATM(南台北分行)
15799 >>> 上海銀行ATM(士林分行)
15812 >>> 凱基銀行ATM(松江分行)
15824 >>> 北富銀ATM(土城分行)
15827 >>> 台企ATM(世貿分行)
15839 >>> 北富銀ATM(銘傳大學桃園分校)
15841 >>> 遠東商銀ATM(遠東百貨(板橋))
15848 >>> 北富銀ATM(萬華分行)
15854 >>> 第一銀行ATM(雙園分行)
15874 >>> 臺灣銀行ATM(龍山分行)
15947 >>> 上海銀行ATM(承德分行)
15961 >>> 北富銀ATM(大安分行)
16000 >>> 彰化銀行ATM(大同分行)
16004 >>> 北富銀ATM(大同分行)
16014 >>> 日盛銀行ATM(延平分行)
16026 >>> 日盛銀行ATM(松山分行)
16038 >>> 台企ATM(松山分行)
16054 >>> 上海銀行ATM(三民分行)
16066 >>> 安泰銀行ATM(延平分行)
16076 >>> 台新銀行ATM(全家京民店)
16090 >>> 台北富邦銀行ATM(城東分行)
16099 >>> 台北富邦銀行ATM(建國分行)
16107 >>> 北富銀ATM(八德分行)
16129 >>> 上海銀行ATM(北中和分行)
16132 >>> 上海銀行ATM(三重行內無人銀行)
16140 >>> 北富銀ATM(松山分行)
16148 >>> 北富銀ATM(民生分行)
16134 >>> 聯邦銀行ATM(三重分行)
16212 >>> 上海銀行ATM(內湖美福)
16230 >>> 彰化銀行ATM(三重埔分行)
16237 >>> 日盛銀行ATM(日盛板橋)
16245 >>> 彰化銀行ATM(北三重埔分行)
16247 >>> 元大銀行ATM(群益證券南三重)
16299 >>> 北富銀ATM(社子分行)
16302 >>> 第一銀行ATM(士林分行)
16308 >>> 台企ATM(士林分行)
16311 >>> 元大銀行ATM(元大寶來證券士林分公司)
16319 >>> 日盛銀行ATM(士林分行)
16330 >>> 台灣銀行ATM(天母分行)
16337 >>> 元大銀行ATM(士林分行)
16356 >>> 元大銀行ATM(特力屋B&Q士林店)
16361 >>> 元大銀行ATM(元大寶來證券大天母分公司)
16413 >>> 匯豐銀行ATM(松江分行)
16426 >>> 日盛銀行ATM(日盛總公司)
16428 >>> 聯邦銀行ATM(大安分行)
16432 >>> 台灣銀行ATM(大安分行)
16455 >>> 北富銀ATM(信義分行)
16484 >>> 北富銀ATM(中心診所)
16489 >>> 上海銀行ATM(信義分行)
16534 >>> 安泰銀行ATM(信義分行)
16551 >>> 大眾銀行ATM(大和平分行)
16559 >>> 台企ATM(忠孝分行)
16562 >>> 安泰銀行ATM(通化分行)
16610 >>> 台企ATM(雙和分行)
16624 >>> 第一銀行ATM(中山分行)
16628 >>> 北富銀ATM(中山分行)
16644 >>> 第一銀行ATM(圓山分行)
16657 >>> 上海銀行ATM(營業部)
16679 >>> 台北富邦銀行ATM(南京東路分行)
16755 >>> 聯邦銀行ATM(西湖分行)
16758 >>> 上海銀行ATM(內湖分行)
16762 >>> 台企ATM(內湖分行)
16770 >>> 台企ATM(內湖分行)
16772 >>> 彰化銀行ATM(雙園分行)
16785 >>> 第一銀行ATM(北投分行)
16786 >>> 北富銀ATM(北投分行)
16790 >>> 聯邦銀行ATM(北投分行)
16900 >>> 上海銀行ATM(天母分行)
16905 >>> 北富銀ATM(天母分行)
16918 >>> 台灣銀行ATM(台灣銀行行員訓練所)
16923 >>> 上海銀行ATM(民生分行)
16924 >>> 上海銀行ATM(北三重分行)
16925 >>> 日盛銀行ATM(內湖分行)
16928 >>> 第一銀行ATM(五股分行)
16976 >>> 上海銀行ATM(世貿分行)
16980 >>> 聯邦銀行ATM(永吉分行)
16982 >>> 元大銀行ATM(誠品旗艦)
16985 >>> 遠東商銀ATM(永吉分行)
17001 >>> 北富銀ATM(永春分行)
17010 >>> 北富銀ATM(市府分行)
17011 >>> 北富銀ATM(莊敬分行)
17021 >>> 北富銀ATM(台北市立聯合醫院松德院區)
17023 >>> 台企ATM(松南分行)
17031 >>> 北富銀ATM(台北市議會)
17036 >>> 遠東商銀ATM(逸仙分行)
17054 >>> 安泰銀行ATM(松山分行)
17084 >>> 臺灣銀行ATM(南港軟體園區分行)
17124 >>> 第一銀行ATM(埔乾分行)
17156 >>> 台企ATM(埔墘分行)
17158 >>> 彰化銀行ATM(江翠分行)
17170 >>> 匯豐銀行ATM(新竹分行)
17172 >>> 北富銀ATM(內湖分行)
17197 >>> 元大銀行ATM(元大寶來證券內湖分公司)
17229 >>> 遠東商銀ATM(金湖分行)
