編號	地址
60433 >>> 台北市大同區承德路三段21號
60449 >>> 台北市大同區南京西路239巷9號3樓
60469 >>> 台北市中正區市民大道一段100號地下街之72號店
60470 >>> 台北市民權東路二段47號1樓
60471 >>> 台北市大同區承德路二段169號
60474 >>> 新北市三重區三和路四段360號
60475 >>> 台北市大同區貴德街49號
60476 >>> 台北市中正區濟南路二段67號1樓
60485 >>> 台北市中山區林森北路259巷9號
60487 >>> 台北市中正區武昌街一段38號
60488 >>> 台北市大安區信義路四段1-17號
60495 >>> 台北市大安區樂利路18號
60496 >>> 台北市大安區樂利路65號
60504 >>> 台北市大安區信義路二段118號
60508 >>> 台北市大安區延吉街137巷19號1樓
60515 >>> 台北市大安區師大路124號
60519 >>> 台北市中正區忠孝西路一段66號B2
60527 >>> 台北市中正區信義路一段9之3號
60532 >>> 台北市大安區市民大道三段126號
60536 >>> 台北市中正區信義路一段3號
60537 >>> 台北市中正區中華路二段327號
60538 >>> 台北市文山區羅斯福路五段192號B1
60540 >>> 台北市中山區吉林路408號
60542 >>> 新北市三重區中正北路210號
60560 >>> 松山區八德路三段147號
60563 >>> 台北市松山區新東街65巷9號
60572 >>> 台北市文山區羅斯福路五段170巷41號
60575 >>> 台北市中山區林森北路154號
60588 >>> 台北市中山區新生北路二段62巷32-1號
60593 >>> 台北市中山區南京西路14號誠品生活5樓
60600 >>> 台北市中山區雙城街12巷10號
60603 >>> 台北市中山區吉林路257號
60605 >>> 台北市中山區林森北路96號
60613 >>> 台北市中山區民權東路二段11號
60644 >>> 台北市萬華區華西街21巷7號
60647 >>> 台北市萬華區漢口街二段31號
60648 >>> 台北市萬華區桂林路45號
60649 >>> 台北市萬華區西園路一段145號B1
60650 >>> 台北市萬華區康定路148號
60652 >>> 台北市中正區汀洲路二段283號
60653 >>> 新北市三重區重新路五段609巷10號B1C1室
60660 >>> 新北市新店區光明街180號1樓
60661 >>> 新北市板橋區貴興路63號2樓
60662 >>> 新北市三芝區淡金路二段19巷1號
60666 >>> 新北市永和區中正路465巷3號
60668 >>> 新北市坪林區逮魚堀54-1號
60670 >>> 新北市坪林區坪雙路二段18號
60672 >>> 新北市三峽區白雞路153-79號行修宮商場
60674 >>> 新北市新店區民族路71號1樓
60676 >>> 新北市坪林區村16-4號
60678 >>> 新竹縣峨眉鄉石井村19號
60684 >>> 台北市信義區松高路19號B2
60689 >>> 台北市信義區松壽路11號B2
60690 >>> 台北市信義區松高路11號3樓
60691 >>> 台北市信義區光復南路473巷11弄44號
60704 >>> 台北市信義區松高路12號B2
60708 >>> 台北市大安區八德路二段25號B1
60710 >>> 台北市中山區南京西路14號誠品生活B1
60718 >>> 台北市北投區中央北路二段95巷6號1樓
60719 >>> 台北市北投區光明路232號
60735 >>> 台北市中山區長春路14-1號
60736 >>> 台北市士林區天母西路3號1樓之29
60747 >>> 台北市士林區中山北路六段195巷17弄2號1樓
60753 >>> 台北市內湖區成功路三段187巷5號1樓
60760 >>> 台北市內湖區康樂街136巷28號1樓 
60765 >>> 新北市汐止區莊敬街123號1樓
60767 >>> 新北市汐止區大同路一段337巷16弄2-5號
60770 >>> 新北市汐止區大同路二段462號
60787 >>> 台北市文山區指南路三段34巷33號
60788 >>> 台北市文山區指南路三段38巷14-1號
60789 >>> 台北市文山區興隆路三段185巷5弄4號1樓
60790 >>> 台北市文山區木柵路三段100號
60791 >>> 台北市文山區指南路三段34巷53-2號
60802 >>> 台北市文山區指南路三段38巷33-5號
