編號		地址
39640 >>> 台北市信義區吳興街156巷6號
39730 >>> 台北市松山區民生東路三段113巷25弄1號
39935 >>> 新北市汐止區橫科路23號
39937 >>> 台北市南港區忠孝東路七段369號C棟2F
39957 >>> 台北市文山區景豐街2巷10號
39996 >>> 新北市萬里區瑪鋉路12號
40059 >>> 基隆市暖暖區暖碇路189號
40265 >>> 新北市新莊區後港一路28巷5弄3號
40274 >>> 新北市永和區保平路264號
40371 >>> 新北市新店區永平街60號
40523 >>> 新北市土城區青雲路531號
40524 >>> 新北市土城區學士路24巷2號
40584 >>> 桃園市八德區忠勇街353號
40604 >>> 新北市三峽區中正路二段94號
40903 >>> 桃園市楊梅區桃79鄉道56-74號
41033 >>> 桃園市中壢區元化路357號
41034 >>> 桃園市中壢區下興南42-23號
41068 >>> 桃園市蘆竹區福祿一街33號1樓
41077 >>> 桃園市楊梅區新農街二段102號
41091 >>> 桃園市新屋區中山西路三段635號
41290 >>> 台中市北區富強街44號
41408 >>> 台中市西屯區重慶路136號
41512 >>> 台中市北屯區昌平路二段2-47號
41620 >>> 台中市豐原區南陽路125號
41692 >>> 台中市大雅區學府路116號
41697 >>> 台中市大雅區學府路109號
41700 >>> 台中市大雅區文化路6號
41707 >>> 台中市大肚區中沙路164巷3弄116號
41729 >>> 台中市清水區中興街57號
41824 >>> 台南市南區明興路59號
41889 >>> 台南市北區文賢路1168號
41892 >>> 台南市永康區中華路412號
41912 >>> 台南市下營區中營262之1號
41915 >>> 台南市南化區南化里128號
41958 >>> 台南市善化區六德里六分寮325之31號
41962 >>> 台南市安南區安中路一段106-116號
41987 >>> 台南市安定區安定里58號
42020 >>> 台南市山上區南州1271號
42046 >>> 高雄市阿蓮區忠孝路73號
42076 >>> 高雄市旗山區中華路33號
42094 >>> 台南市柳營區中山西路一段120號
42098 >>> 台南市佳里區佳化里佳里興196之27號
42100 >>> 台南市將軍區108之6號
42112 >>> 高雄市那瑪夏區平和巷7號
42118 >>> 高雄市前金區成功一路266之1號
42126 >>> 嘉義縣義竹鄉六桂村171-1號
42127 >>> 嘉義縣義竹鄉義竹204-2號
42128 >>> 台南市鹽水區後厝70號
42150 >>> 嘉義縣水上鄉中庄64號
42151 >>> 嘉義縣水上鄉柳子林109之21號
42157 >>> 嘉義縣及137巷2號水上鄉吳竹街135號
42164 >>> 嘉義縣太保市後潭里後潭318號
42305 >>> 高雄市鳳山區瑞興路268號
42319 >>> 高雄市三民區大昌二路525號
42374 >>> 高雄市楠梓區德民路838號
42446 >>> 高雄市小港區桂陽路198號
42501 >>> 高雄市楠梓區常德路250號
42504 >>> 高雄市楠梓區德賢路380巷26號
42596 >>> 高雄市仁武區仁雄路25號之1
42829 >>> 台東縣台東市中華路二段191號
41979 >>> 台南市安南區安富街346號
41518 >>> 台中市北屯區崇德路二段370號
41245 >>> 台中市西區公益路150號
41913 >>> 台南市玉井區中華路228號
39639 >>> 台北市松山區復興南路一段39號
40132 >>> 新北市五股區民義路一段21號
42114 >>> 高雄市燕巢區中民路577號
40877 >>> 桃園市龍潭區渴望路428號
42488 >>> 高雄市小港區大業北路422號
42569 >>> 高雄市岡山區文賢路39號
