 編號		店家名稱
13477 >>> 松山區民生東路四段87號
13514 >>> 號 -4, No. 56天津街中山區台北市10491
13520 >>> 松山區民生東路五段134號
13538 >>> 中正區南昌路一段103號
13541 >>> 中正區臨沂街80號
13546 >>> 中正區重慶南路一段135號
13548 >>> 中正區羅斯福路三段244巷19號
13549 >>> 中正區沅陵街20號
13551 >>> 中正區臨沂街79號
13552 >>> 中正區南昌路一段93號
13553 >>> 萬華區貴陽街二段98號
13559 >>> 萬華區中華路二段382號
13565 >>> 大同區長安西路52巷20號
13566 >>> 中山區林森北路291號
13574 >>> 大同區延平北路二段109號
13575 >>> 萬華區廣州街215號
13583 >>> 大安區敦化南路1段194號復旦大廈
13584 >>> 中山區錦州街244號
13585 >>> 萬華區西昌街171號
13590 >>> 號, No. 10中和路中和區新北市235
13594 >>> 中山區民生東路二段119號
13595 >>> 中和區中和路50號
13596 >>> 大安區通化街68號
13597 >>> 士林區華榮街2號
13598 >>> 三重區中央北路91號
13605 >>> 士林區大南路18號
13610 >>> 北投區裕民一路43號
13611 >>> 新北市三重區
13617 >>> 大同區延平北路二段64號
13620 >>> 大同區重慶北路三段331號
13622 >>> 大同區延平北路二段47號
13635 >>> 中山區民生東路一段9號
13645 >>> No. 307號, 林森北路中山區台北市10491
13656 >>> 中山區錦州街248號
13657 >>> 中山區錦州街367號
13659 >>> 中山區長春路225號
13663 >>> 中山區北安路552號
13664 >>> 萬華區康定路126號
13667 >>> 三重區重新路三段4號
13668 >>> 大安區敦化南路一段238巷9號
13669 >>> 士林區社中街33巷24號
13670 >>> 三重區正義北路99號
13672 >>> 三重區重新路二段96號
13678 >>> 信義區永吉路278巷13號
13686 >>> 中山區八德路二段285號
13688 >>> 中山區雙城街12巷10號
13696 >>> 士林區大北路98號
13697 >>> 台北市中山區
13699 >>> 板橋區中山路二段210號
13705 >>> 中和區民享街33號
13718 >>> 萬華區萬大路478號
13719 >>> 萬華區成都路54號
13720 >>> 萬華區東園街94號
13721 >>> 萬華區東園街74號
13723 >>> 萬華區昆明街232號
13724 >>> 萬華區廣州街176號
13729 >>> 信義區莊敬路249號
13730 >>> 文山區興隆路二段58號
13731 >>> 三重區長壽西街31號
13734 >>> 文山區景文街149號
13738 >>> 士林區中正路244號
13749 >>> 大安區通化街67號
13753 >>> 大安區安和路二段69巷16號1樓
13755 >>> 大安區和平東路二段155號
13756 >>> 大安區忠孝東路四段216巷54號
13757 >>> 大安區仁愛路四段50號
13758 >>> 大安區延吉街128號
13759 >>> 大安區延吉街68號
13761 >>> 大安區忠孝東路四段216巷24號
13762 >>> 大安區仁愛路四段421號
13763 >>> 大安區市民大道136號
13766 >>> 大安區敦化南路1段225號
13769 >>> 信義區福德街218號
13780 >>> 士林區和豐街12號
13786 >>> 信義區仁愛路四段466號
13788 >>> 士林區社中街33巷14號
13791 >>> 士林區大南路27號
13792 >>> 士林區大南路35號
13794 >>> 號, No. 35士東路士林區台北市111
13798 >>> 三重區長壽西街15號
13799 >>> No.3, Yumin 1st Rd., 北投區台北市11282
13811 >>> 台北市信義區
13813 >>> 新北市蘆洲區
13815 >>> 三重區忠孝路一段83號
13816 >>> 蘆洲區成功路117號
13834 >>> 北投區知行路280號
13839 >>> 淡水區民族路21號
13840 >>> 台北市北投區
13849 >>> 新北市永和區
13851 >>> 永和區文化路8號
13852 >>> 新北市林口區
13854 >>> 永和區永和路一段141號
13866 >>> 中山區松江路362巷65號
13875 >>> 新北市五股區
13881 >>> 南港區成福路24號
13889 >>> 文山區興隆路四段143號
13893 >>> 文山區景文街64號
13899 >>> 永和區福和路155號
13900 >>> 新店區中正路282號
13901 >>> 永和區竹林路225巷1號
13920 >>> 板橋區懷德街115號
13931 >>> 號, No. 1中正路236巷板橋區新北市220
13938 >>> 板橋區南門街63號
13943 >>> 板橋區後埔街6號
13945 >>> 板橋區龍興街63巷2號
13947 >>> 板橋區實踐路111號
13952 >>> 號, No. 210-2長安街板橋區新北市220
13957 >>> 樹林區博愛一街30號
13962 >>> No. 381, 新莊路新莊區新北市242
13963 >>> 新北市板橋區
13964 >>> 1樓 No. 307號, 延吉街土城區新北市236
13965 >>> 新北市板橋區
13969 >>> 新北市板橋區
13971 >>> 新北市中和區
13973 >>> 號 1 樓, No. 163青雲路土城區新北市236
13977 >>> 樹林區鎮前街42號
13995 >>> 新北市永和區
14008 >>> 新莊區幸福路641號
14010 >>> 新店區安民街149號
14025 >>> 新北市瑞芳區
14029 >>> 金山區中山路265號
14038 >>> No, No. 28環河南路221巷三重區新北市241
14039 >>> 三重區文化北路1號
14048 >>> 林口區林口路55號
14051 >>> No, No. 68中山路淡水區新北市25151
14054 >>> 永和區勵行街31號
14055 >>> 新北市泰山區
14058 >>> 新北市淡水區
14059 >>> 新北市永和區
14062 >>> 新北市泰山區
14066 >>> 楊梅區市場街
14070 >>> 鶯歌區中正一路18號
14083 >>> 新北市三重區
14085 >>> 永和區永和路一段143號
14093 >>> 新北市汐止區
14095 >>> 台北市松山區
14103 >>> 新北市五股區
14104 >>> 三峽區民權街7號
14111 >>> 新北市土城區
14112 >>> 新北市土城區
14115 >>> 新北市永和區
14117 >>> 永和區勵行街81號
14125 >>> 基隆市中山區
14128 >>> 新北市瑞芳區
14142 >>> 基隆市中正區
14162 >>> 號, No. 192明志路三段泰山區新北市243
14168 >>> 新北市鶯歌區
14177 >>> 樹林區鎮前街15號
14188 >>> 三峽區信義街29號
14190 >>> 新北市三峽區
14191 >>> 八德區大同路13號
14197 >>> 桃園區中山路65號
14198 >>> 桃園區中正路156號
14215 >>> 中壢區中華路一段159號
14223 >>> 桃園市中壢區
14226 >>> 新莊區新莊路569號
14227 >>> 號, No. 2新豐街新莊區新北市242
14229 >>> 新北市蘆洲區
14234 >>> 新北市三重區
14235 >>> 新北市蘆洲區
14236 >>> 蘆洲區長安街186號
14237 >>> 新北市三重區
14238 >>> 淡水區中山路45號
14241 >>> 號, No. 138三民街三重區新北市241
14243 >>> 桃園市八德區
14262 >>> 中壢區中山路335號
14264 >>> 號, No. 719莊敬路中壢區桃園市320
14267 >>> 中壢區前龍街51號
14268 >>> 桃園區和平路68號
14269 >>> 桃園區中正路258號
14273 >>> 桃園區南昌東街1號
14286 >>> 楊梅區中興路80巷25號
14290 >>> 大溪區中央路116號
14296 >>> 台北市大同區
14298 >>> 桃園市楊梅區
14299 >>> 中壢區中華路一段210號
14301 >>> 楊梅區市場街
14303 >>> 楊梅區市場街
14310 >>> 桃園區博愛路82號
14311 >>> 桃園區中山路106號
14312 >>> 桃園區博愛路82號
14314 >>> 桃園區永安路263號
14315 >>> 龜山區山鶯路135號
14318 >>> 桃園市中壢區
14322 >>> 桃園市桃園區
14323 >>> 大園區中山北路20號
14324 >>> 號, No. 227南平路桃園區桃園市330
14328 >>> 楊梅區中正路23號
14332 >>> 新北市八里區
14337 >>> 大園區中山北路22號
14344 >>> 號, No. 52山鶯路龜山區桃園市333
14366 >>> 南區台中路280號
14367 >>> 南區新和街201號
14370 >>> 南區新和街162號
14390 >>> 中區中山路137號
14393 >>> 中區中山路66號
14394 >>> 南屯區萬和路一段92號
14400 >>> 中區中山路122號
14403 >>> 西區三民路一段89號
14407 >>> 中區三民路二段58號
14410 >>> 中區成功路220號
14418 >>> 中區成功路386號
14423 >>> 中區台灣大道一段3鄰305號
14424 >>> 西區永安街10號
14425 >>> 中區綠川西街164號
14429 >>> 南屯區黎明路一段1098號
14431 >>> 台中市西區
14441 >>> 中區平等街91號
14448 >>> 烏日區三民街188號
14470 >>> 中區成功路186號
14471 >>> 中區台灣大道一段9號
14473 >>> 中區台灣大道一段138號
