 編號		店家名稱
13477 >>> 台北市松山區民生東路四段87號
13514 >>> 台北市中山區天津街56號
13520 >>> 台北市松山區民生東路五段134號
13538 >>> 台北市中正區南昌路一段103號
13541 >>> 台北市中正區臨沂街80號
13546 >>> 台北市中正區重慶南路一段135號
13548 >>> 台北市中正區羅斯福路三段244巷19號
13549 >>> 台北市中正區沅陵街20號
13551 >>> 台北市中正區臨沂街79號
13552 >>> 台北市中正區南昌路一段93號
13553 >>> 台北市萬華區貴陽街二段98號
13559 >>> 台北市萬華區中華路二段382號
13565 >>> 台北市大同區長安西路52巷20號
13566 >>> 台北市中山區林森北路291號
13574 >>> 台北市大同區延平北路二段109號
13575 >>> 台北市萬華區廣州街215號
13583 >>> 台北市大安區敦化南路1段194號
13584 >>> 台北市中山區錦州街244號
13585 >>> 台北市萬華區西昌街171號
13590 >>> 新北市中和區中和路10號
13594 >>> 台北市中山區民生東路二段119號
13595 >>> 新北市中和區中和路50號
13596 >>> 台北市大安區通化街68號
13597 >>> 台北市士林區華榮街2號
13598 >>> 新北市三重區中央北路91號
13605 >>> 台北市士林區大南路18號
13610 >>> 台北市北投區裕民一路43號
13611 >>> 新北市三重區
13617 >>> 台北市大同區延平北路二段64號
13620 >>> 台北市大同區重慶北路三段331號
13622 >>> 台北市大同區延平北路二段47號
13635 >>> 台北市中山區民生東路一段9號
13645 >>> 台北市中山區林森北路307號
13656 >>> 台北市中山區錦州街248號
13657 >>> 台北市中山區錦州街367號
13659 >>> 台北市中山區長春路225號
13663 >>> 台北市中山區北安路552號
13664 >>> 台北市萬華區康定路126號
13667 >>> 新北市三重區重新路三段4號
13668 >>> 台北市大安區敦化南路一段238巷9號
13669 >>> 台北市士林區社中街33巷24號
13670 >>> 新北市三重區正義北路99號
13672 >>> 新北市三重區重新路二段96號
13678 >>> 台北市信義區永吉路278巷13號
13686 >>> 台北市中山區八德路二段285號
13688 >>> 台北市中山區雙城街12巷10號
13696 >>> 台北市士林區大北路98號
13697 >>> 台北市中山區
13699 >>> 新北市板橋區中山路二段210號
13705 >>> 新北市中和區民享街33號
13718 >>> 台北市萬華區萬大路478號
13719 >>> 台北市萬華區成都路54號
13720 >>> 台北市萬華區東園街94號
13721 >>> 台北市萬華區東園街74號
13723 >>> 台北市萬華區昆明街232號
13724 >>> 台北市萬華區廣州街176號
13729 >>> 台北市信義區莊敬路249號
13730 >>> 台北市文山區興隆路二段58號
13731 >>> 新北市三重區長壽西街31號
13734 >>> 台北市文山區景文街149號
13738 >>> 台北市士林區中正路244號
13749 >>> 台北市大安區通化街67號
13753 >>> 台北市大安區安和路二段69巷16號1樓
13755 >>> 台北市大安區和平東路二段155號
13756 >>> 台北市大安區忠孝東路四段216巷54號
13757 >>> 台北市大安區仁愛路四段50號
13758 >>> 台北市大安區延吉街128號
13759 >>> 台北市大安區延吉街68號
13761 >>> 台北市大安區忠孝東路四段216巷24號
13762 >>> 台北市大安區仁愛路四段421號
13763 >>> 台北市大安區市民大道136號
13766 >>> 台北市大安區敦化南路1段225號
13769 >>> 台北市信義區福德街218號
13780 >>> 台北市士林區和豐街12號
13786 >>> 台北市信義區仁愛路四段466號
13788 >>> 台北市士林區社中街33巷14號
13791 >>> 台北市士林區大南路27號
13792 >>> 台北市士林區大南路35號
13794 >>> 台北市士林區士東路35號
13798 >>> 新北市三重區長壽西街15號
13799 >>> 台北市北投區裕民一路3號
13811 >>> 台北市信義區
13813 >>> 新北市蘆洲區
13815 >>> 新北市三重區忠孝路一段83號
13816 >>> 新北市蘆洲區成功路117號
13834 >>> 台北市北投區知行路280號
13839 >>> 新北市淡水區民族路21號
13840 >>> 台北市北投區
13849 >>> 新北市永和區
13851 >>> 新北市永和區文化路8號
13852 >>> 新北市林口區
13854 >>> 新北市永和區永和路一段141號
13866 >>> 台北市中山區松江路362巷65號
13875 >>> 新北市五股區
13881 >>> 台北市南港區成福路24號
13889 >>> 台北市文山區興隆路四段143號
13893 >>> 台北市文山區景文街64號
13899 >>> 新北市永和區福和路155號
13900 >>> 新北市新店區中正路282號
13901 >>> 新北市永和區竹林路225巷1號
13920 >>> 新北市板橋區懷德街115號
13931 >>> 新北市板橋區中正路236巷1號
13938 >>> 新北市板橋區南門街63號
13943 >>> 新北市板橋區後埔街6號
13945 >>> 新北市板橋區龍興街63巷2號
13947 >>> 新北市板橋區實踐路111號
13952 >>> 新北市板橋區長安街210-2號
13957 >>> 新北市樹林區博愛一街30號
13962 >>> 新北市新莊區新莊路381號
13963 >>> 新北市板橋區
13964 >>> 新北市土城區延吉街307號1樓
13965 >>> 新北市板橋區
13969 >>> 新北市板橋區
13971 >>> 新北市中和區
13973 >>> 新北市土城區青雲路163號1樓
